INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
University of Alaska Anchorage,6778,7508,21635,23461,0.2995
Alaska Bible College,31,10900,10900,19679,0.5
University of Alaska Fairbanks,4010,7896,22032,19814,0.3851
Alaska Pacific University,457,20760,20760,36422,0.3611
