INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
Delaware Technical Community College-Terry,10030,4945,11808,13041,0.1969
Delaware State University,4588,8358,18280,24248,0.4548
University of Delaware,18665,15410,37930,28744,0.7961
Goldey-Beacom College,617,13050,13050,23846,0.6709
Wilmington University,8210,12030,12030,19155,0.1957
