INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
Boise Bible College,95,9770,9770,25426,0.4688
Boise State University,16979,8364,25701,23497,0.5968
Idaho State University,6830,7958,25936,20725,0.3714
University of Idaho,7120,8396,27632,22108,0.611
The College of Idaho,1052,34630,34630,47926,0.5992
Lewis-Clark State College,2344,6999,20252,17295,0.3516
Northwest Nazarene University,1115,36298,36298,46897,0.5817
Brigham Young University-Idaho,42213,4536,4536,12807,0.5382
College of Southern Idaho,3531,3360,6840,12340,0.3068
