INSTNM,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,C150_4
California Polytechnic State University-San Luis Obispo,21996,13596,34665,32265,0.864
California State Polytechnic University-Pomona,25042,7780,20380,23955,0.6843
California State University-Fresno,21605,7350,19950,20095,0.5696
California State University-Fullerton,38546,7470,20070,18269,0.7018
California State University-Long Beach,35924,7350,19950,22679,0.6888
California State University-Los Angeles,19562,7160,19760,18403,0.5298
California State University-Northridge,32691,7458,20058,20485,0.5695
California State University-Sacramento,28350,8018,20618,22945,0.5629
University of California-Berkeley,33068,16347,50547,45619,0.9284
University of California-Davis,32253,16774,50974,41238,0.8567
University of California-Irvine,30197,15722,49922,38632,0.8687
University of California-Los Angeles,33475,15203,49403,38614,0.9262
University of California-Riverside,22593,15606,49806,38942,0.7596
University of California-San Diego,34948,16758,50958,38701,0.8605
University of California-Santa Barbara,23113,16414,50614,41573,0.8303
University of California-Santa Cruz,17940,16005,50205,41179,0.7509
San Diego State University,35377,8728,21328,27780,0.7643
San Francisco State University,18639,7950,20550,26488,0.5037
San Jose State University,27601,8410,21010,26593,0.6922
University of Southern California,20443,72097,72097,90300,0.9183
