INSTNM,STABBR,UGDS,COSTT4_A,C150_4
College for Creative Studies,MI,1317,58859,0.6406
Davenport University,MI,3412,34159,0.5009
University of Detroit Mercy,MI,2322,39217,0.7294
Eastern Michigan University,MI,11206,26085,0.4542
Ferris State University,MI,8390,25135,0.4936
Kettering University,MI,1401,58080,0.6934
Grace Christian University,MI,817,23616,0.5327
Cornerstone University,MI,1383,39524,0.6168
Grand Valley State University,MI,18487,25379,0.6628
Great Lakes Christian College,MI,132,26316,0.32
Hope College,MI,3173,49892,0.8028
Kalamazoo College,MI,1192,68832,0.7977
Lake Superior State University,MI,1468,25607,0.5106
Lawrence Technological University,MI,1864,52558,0.6575
Madonna University,MI,1693,38500,0.4928
Rochester University,MI,848,34571,0.4063
University of Michigan-Ann Arbor,MI,32448,32139,0.9317
Michigan State University,MI,39021,29204,0.8157
Michigan Technological University,MI,5633,31297,0.6776
University of Michigan-Dearborn,MI,5962,22327,0.56
University of Michigan-Flint,MI,4029,23278,0.4645
Northern Michigan University,MI,6322,25294,0.5292
Northwood University,MI,1911,45439,0.6262
Oakland University,MI,12626,23669,0.5764
Olivet College,MI,859,45023,0.4406
Kuyper College,MI,78,32542,0.5429
Saginaw Valley State University,MI,6211,22866,0.4996
Siena Heights University,MI,1554,41236,0.5119
Spring Arbor University,MI,1021,42903,0.6
Finlandia University,MI,386,36729,0.3116
Wayne State University,MI,15669,25942,0.6031
Western Michigan University,MI,13264,27150,0.5507
Academy College,MN,103,34100,1
Augsburg University,MN,2334,55931,0.5563
Bemidji State University,MN,3187,21940,0.4994
Bethany Lutheran College,MN,641,39103,0.5652
Bethel University,MN,2090,54444,0.7469
Carleton College,MN,2007,78315,0.9065
Concordia College at Moorhead,MN,1800,40870,0.6943
Concordia University-Saint Paul,MN,2760,33714,0.5124
Martin Luther College,MN,697,28613,0.7436
Gustavus Adolphus College,MN,2069,63088,0.7579
Hamline University,MN,1745,55979,0.6905
Macalester College,MN,2164,76357,0.8792
Minnesota State University-Mankato,MN,11354,21824,0.5258
Metropolitan State University,MN,5152,25964,0.325
University of Minnesota-Twin Cities,MN,30560,27446,0.8436
University of Minnesota-Crookston,MN,1489,24301,0.5333
Minneapolis College of Art and Design,MN,689,54675,0.5767
Herzing University-Minneapolis,MN,808,26953,0.7097
University of Minnesota-Duluth,MN,7754,25901,0.6223
University of Minnesota-Morris,MN,1024,25262,0.5806
Minnesota State University Moorhead,MN,3462,23306,0.5544
North Central University,MN,827,40855,0.5911
University of Northwestern-St Paul,MN,1512,46115,0.7027
Oak Hills Christian College,MN,91,31919,0.5263
College of Saint Benedict,MN,1428,64561,0.7833
Saint Cloud State University,MN,5395,20529,0.4437
Saint Johns University,MN,1501,64251,0.757
Saint Mary's University of Minnesota,MN,1080,52935,0.6537
St Olaf College,MN,3019,66570,0.8479
Crown College,MN,757,43264,0.5166
The College of Saint Scholastica,MN,1923,52561,0.6719
University of St Thomas,MN,5868,62028,0.796
St Catherine University,MN,2349,56312,0.6388
Southwest Minnesota State University,MN,1956,21596,0.4079
Winona State University,MN,5254,22640,0.6047
Alcorn State University,MS,2344,24062,0.4733
Belhaven University,MS,1414,36866,0.4558
Blue Mountain Christian University,MS,540,29461,0.3945
Delta State University,MS,1627,21506,0.4636
Jackson State University,MS,4905,24120,0.3482
Millsaps College,MS,622,59877,0.5675
University of Mississippi,MS,17157,26788,0.6779
Mississippi University for Women,MS,1701,21008,0.3702
Mississippi Valley State University,MS,1169,21606,0.2577
Mississippi College,MS,2098,37689,0.6228
Mississippi State University,MS,18154,26353,0.631
Rust College,MS,731,16700,0.2469
University of Southern Mississippi,MS,10149,24425,0.5168
Tougaloo College,MS,541,23266,0.3085
William Carey University,MS,1772,28491,0.4167
Avila University,MO,937,31540,0.5099
Baptist Bible College,MO,274,25868,0.3875
Cox College,MO,677,28124,0.6667
Calvary University,MO,202,19317,0.5926
Central Christian College of the Bible,MO,152,21779,0.2714
Central Methodist University-College of Liberal Arts and Sciences,MO,1074,42845,0.5187
University of Central Missouri,MO,5920,21179,0.5273
Columbia College,MO,5486,36284,0.4283
Cottey College,MO,311,34355,0.5638
Culver-Stockton College,MO,854,42218,0.4831
Drury University,MO,1369,45553,0.6359
Evangel University,MO,1246,38615,0.7171
Fontbonne University,MO,668,42271,0.5797
Hannibal-LaGrange University,MO,397,37045,0.3867
Harris-Stowe State University,MO,1078,18754,0.2006
Kansas City Art Institute,MO,735,55084,0.5679
Lincoln University,MO,1323,20301,0.2898
Lindenwood University,MO,4627,32719,0.5423
Maryville University of Saint Louis,MO,5781,44826,0.6679
Midwestern Baptist Theological Seminary,MO,879,28652,0.4091
Missouri Baptist University,MO,1508,43860,0.4071
Missouri Southern State University,MO,3245,16972,0.3561
Missouri Valley College,MO,1269,35869,0.2294
Missouri Western State University,MO,2628,19570,0.413
University of Missouri-Columbia,MO,23206,28417,0.753
University of Missouri-Kansas City,MO,6479,23450,0.5538
Missouri University of Science and Technology,MO,5453,24736,0.6167
University of Missouri-St Louis,MO,5378,24160,0.5158
Truman State University,MO,2920,22335,0.7102
Northwest Missouri State University,MO,4679,21375,0.5394
Ozark Christian College,MO,597,24363,0.5263
College of the Ozarks,MO,1481,31353,0.625
Park University,MO,6061,22835,0.2323
Rockhurst University,MO,1732,54739,0.7711
Saint Louis University,MO,7332,65627,0.8123
University of Health Sciences and Pharmacy in St. Louis,MO,264,52232,0.7333
Southwest Baptist University,MO,1475,36941,0.4313
Stephens College,MO,404,41891,0.4563
Southeast Missouri State University,MO,7010,22420,0.5633
Missouri State University-Springfield,MO,13332,23168,0.5822
Washington University in St Louis,MO,7801,81620,0.9369
Webster University,MO,2174,44148,0.5866
Westminster College,MO,607,48486,0.6356
William Jewell College,MO,824,33470,0.6224
William Woods University,MO,754,43809,0.5098
Carroll College,MT,1108,52132,0.7012
Montana State University Billings,MT,2742,17285,0.2855
University of Providence,MT,593,41079,0.4105
Montana Technological University,MT,1424,21971,0.5659
Montana State University,MT,14343,22506,0.5682
The University of Montana,MT,6937,21814,0.4644
Montana State University-Northern,MT,816,16450,0.292
Rocky Mountain College,MT,834,42532,0.4583
The University of Montana-Western,MT,1202,18668,0.4526
Bellevue University,NE,10318,31587,0.4074
Clarkson College,NE,631,24425,0.7188
Bryan College of Health Sciences,NE,535,34178,0.72
Chadron State College,NE,1690,22842,0.4424
Concordia University-Nebraska,NE,1138,49230,0.5906
Creighton University,NE,4261,59663,0.7847
Doane University,NE,988,53750,0.6139
Hastings College,NE,918,47961,0.5458
University of Nebraska at Kearney,NE,4159,23925,0.5412
Nebraska Methodist College of Nursing & Allied Health,NE,808,29906,0.7209
Midland University,NE,1204,49366,0.4375
University of Nebraska at Omaha,NE,11866,19830,0.4919
Nebraska Wesleyan University,NE,1530,51208,0.5905
University of Nebraska-Lincoln,NE,19097,24612,0.6494
Peru State College,NE,1186,21200,0.3385
College of Saint Mary,NE,502,32549,0.6667
Union College,NE,475,38874,0.5613
Wayne State College,NE,3057,20752,0.5121
York University,NE,442,31500,0.433
University of Nevada-Las Vegas,NV,24329,19984,0.4716
University of Nevada-Reno,NV,15896,23859,0.6182
Colby-Sawyer College,NH,814,64901,0.6032
Dartmouth College,NH,4412,81501,0.9471
Franklin Pierce University,NH,1115,60490,0.5165
Magdalen College,NH,59,36456,0.7917
New England College,NH,1036,59050,0.3086
Southern New Hampshire University,NH,138138,36121,0.4138
University of New Hampshire-Main Campus,NH,11396,34090,0.7788
Keene State College,NH,2690,28794,0.5931
University of New Hampshire at Manchester,NH,507,27263,0.6324
Plymouth State University,NH,3286,28721,0.5084
Rivier University,NH,1329,50415,0.5769
Saint Anselm College,NH,1955,63187,0.853
Granite State College,NH,1134,17753,0.1489
Thomas More College of Liberal Arts,NH,89,36079,0.7
Berkeley College-Woodland Park,NJ,1856,36471,0.4413
Bloomfield College,NJ,1149,44316,0.3446
Caldwell University,NJ,1595,51620,0.68
Centenary University,NJ,1015,49508,0.616
Drew University,NJ,1419,60012,0.7371
Fairleigh Dickinson University-Metropolitan Campus,NJ,2415,45688,0.5105
Felician University,NJ,1696,48466,0.5158
Fairleigh Dickinson University-Florham Campus,NJ,2012,50395,0.611
Georgian Court University,NJ,1166,47556,0.5385
Rowan University,NJ,14914,32251,0.6815
New Jersey City University,NJ,4677,30154,0.3864
Kean University,NJ,10524,24102,0.5127
Monmouth University,NJ,3799,58567,0.6817
Montclair State University,NJ,16902,26041,0.6536
New Jersey Institute of Technology,NJ,8365,31357,0.7371
Princeton University,NJ,5527,78490,0.9732
Rabbinical College of America,NJ,193,23500,0.275
Ramapo College of New Jersey,NJ,4611,28769,0.6953
Rider University,NJ,3105,52777,0.6655
Rutgers University-Camden,NJ,4077,29550,0.6478
Rutgers University-New Brunswick,NJ,36090,31851,0.8446
Rutgers University-Newark,NJ,7188,28522,0.6624
Saint Peter's University,NJ,1918,46980,0.6022
Seton Hall University,NJ,5874,62783,0.7169
Saint Elizabeth University,NJ,672,50509,0.4371
Stevens Institute of Technology,NJ,4054,73570,0.8786
Stockton University,NJ,8105,30214,0.7608
Talmudical Academy-New Jersey,NJ,73,21300,0.2
The College of New Jersey,NJ,6840,34878,0.8576
William Paterson University of New Jersey,NJ,6591,23631,0.5598
Eastern New Mexico University-Main Campus,NM,2899,17929,0.4132
Institute of American Indian and Alaska Native Culture and Arts Development,NM,311,23124,0.2727
New Mexico Highlands University,NM,1500,20242,0.2548
New Mexico Institute of Mining and Technology,NM,1160,20579,0.5503
University of New Mexico-Main Campus,NM,15642,19556,0.517
New Mexico State University-Main Campus,NM,11065,20465,0.509
Northern New Mexico College,NM,812,14167,0.3955
University of the Southwest,NM,369,29034,0.266
Western New Mexico University,NM,1782,19576,0.3106
Adelphi University,NY,5004,55566,0.6746
Albany College of Pharmacy and Health Sciences,NY,584,50853,0.6144
Alfred University,NY,1305,52337,0.5348
Bard College,NY,2174,78900,0.716
Barnard College,NY,3126,79717,0.9155
Berkeley College-New York,NY,1514,37469,0.3528
Beth Hamedrash Shaarei Yosher Institute,NY,74,16800,0.0909
Boricua College,NY,391,23431,0.8864
Canisius College,NY,1750,40718,0.6616
Cazenovia College,NY,633,53059,0.5528
Central Yeshiva Tomchei Tmimim Lubavitz,NY,679,24604,0.1071
Clarkson University,NY,2587,73867,0.7252
Colgate University,NY,3124,80160,0.9125
Metropolitan College of New York,NY,372,33506,0.36
Columbia University in the City of New York,NY,8902,82617,0.9525
The Cooper Union for the Advancement of Science and Art,NY,892,64318,0.8349
Cornell University,NY,15676,80278,0.9529
CUNY Bernard M Baruch College,NY,15554,13540,0.7357
CUNY Brooklyn College,NY,10785,13586,0.5492
College of Staten Island CUNY,NY,8987,14292,0.3473
CUNY City College,NY,11481,13514,0.585
CUNY Hunter College,NY,16549,13345,0.5636
CUNY John Jay College of Criminal Justice,NY,11726,13746,0.5362
CUNY Lehman College,NY,10485,13565,0.5372
CUNY Medgar Evers College,NY,3239,14890,0.2398
CUNY New York City College of Technology,NY,12312,13725,0.2133
CUNY Queens College,NY,13513,13733,0.563
CUNY York College,NY,4822,13749,0.3333
D'Youville  University,NY,1372,43808,0.6569
Daemen University,NY,1682,42126,0.54990000000000006
Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary,NY,51,22750,0.3333
Dominican University New York,NY,1079,44338,0.5336
Elmira College,NY,603,49138,0.5561
Five Towns College,NY,472,36554,0.4015
Fordham University,NY,9843,74795,0.8342
Hamilton College,NY,2071,77000,0.9237
Hartwick College,NY,1085,64262,0.5274
Hilbert College,NY,827,34125,0.5753
Hobart William Smith Colleges,NY,1539,78579,0.7367
Hofstra University,NY,6051,65796,0.6777
Houghton University,NY,745,27969,0.6029
Iona University,NY,2633,57113,0.5658
Ithaca College,NY,4601,65542,0.7432
Jewish Theological Seminary of America,NY,149,86964,0.8095
The Juilliard School,NY,476,79572,0.8929
Kehilath Yakov Rabbinical Seminary,NY,187,15825,0.5
Keuka College,NY,983,52574,0.5207
LIM College,NY,1075,50573,0.5176
Le Moyne College,NY,2459,50504,0.7245
Long Island University,NY,5751,53506,0.4764
Machzikei Hadath Rabbinical College,NY,142,22778,0.1481
Manhattan College,NY,3066,61165,0.7199
Manhattan School of Music,NY,503,72477,0.7919
Manhattanville College,NY,1276,52355,0.6074
Marist College,NY,5069,62169,0.8131
Marymount Manhattan College,NY,1568,61863,0.5664
Medaille University,NY,1185,40348,0.3549
Mercy College,NY,5510,30568,0.471
Mesivta Torah Vodaath Rabbinical Seminary,NY,344,21060,0.2857
Mesivtha Tifereth Jerusalem of America,NY,52,17250,0.1053
Molloy College,NY,3207,47058,0.6922
Monroe College,NY,5434,24603,0.5617
Mount Saint Mary College,NY,1466,48858,0.612
College of Mount Saint Vincent,NY,2233,49939,0.5711
Nazareth College,NY,1978,54255,0.6886
The New School,NY,7136,75533,0.6921
New York University,NY,29136,76563,0.8712
Niagara University,NY,2668,48664,0.7221
New York Institute of Technology,NY,3279,51737,0.5463
Alliance University,NY,761,42665,0.399
Pace University,NY,7766,66074,0.6141
Paul Smiths College of Arts and Science,NY,668,49639,0.5435
Davis College,NY,103,22030,0.4286
Pratt Institute-Main,NY,3887,72225,0.7604
Rabbinical Academy Mesivta Rabbi Chaim Berlin,NY,135,19450,0.2368
Rabbinical College Bobover Yeshiva Bnei Zion,NY,431,17889,0.8776
Rabbinical College of Long Island,NY,148,18150,0.1951
Rabbinical Seminary of America,NY,346,19200,0.3636
Rensselaer Polytechnic Institute,NY,5886,77763,0.838
Roberts Wesleyan University,NY,1033,47996,0.6814
Rochester Institute of Technology,NY,13152,68666,0.7227
University of Rochester,NY,6569,79490,0.8973
Russell Sage College,NY,1117,48739,0.6878
St Bonaventure University,NY,1791,53720,0.7298
St. Francis College,NY,2245,35647,0.5378
St Lawrence University,NY,2130,77363,0.8345
The College of Saint Rose,NY,1420,50555,0.5507
St. Thomas Aquinas College,NY,1016,52230,0.5354
Sarah Lawrence College,NY,1417,76703,0.7162
Siena College,NY,3480,60794,0.7648
Skidmore College,NY,2744,79250,0.8417
St. Joseph's University-New York,NY,3531,37394,0.6879
St. John Fisher University,NY,2616,50348,0.72
St. John's University-New York,NY,10081,58553,0.6922
SUNY College of Technology at Canton,NY,2758,22789,0.4121
SUNY College of Technology at Delhi,NY,2459,25581,0.4407
SUNY College of Agriculture and Technology at Cobleskill,NY,1774,25912,0.4323
Farmingdale State College,NY,8915,16521,0.5417
SUNY at Albany,NY,12175,27368,0.6556
Binghamton University,NY,14398,29143,0.8279
University at Buffalo,NY,20569,27603,0.7351
Stony Brook University,NY,17406,27617,0.7782
SUNY College of Environmental Science and Forestry,NY,1604,28191,0.7147
SUNY Polytechnic Institute,NY,1852,21692,0.6166
SUNY Brockport,NY,5107,24052,0.628
SUNY Buffalo State University,NY,5370,22821,0.3638
SUNY Cortland,NY,5980,25972,0.6866
SUNY at Fredonia,NY,3193,24650,0.6043
SUNY College at Geneseo,NY,4078,26453,0.7443
State University of New York at New Paltz,NY,5990,26233,0.732
SUNY Oneonta,NY,4849,26506,0.7487
State University of New York at Oswego,NY,5957,26135,0.6396
SUNY College at Potsdam,NY,2078,24361,0.4981
SUNY at Purchase College,NY,3050,28021,0.6694
SUNY College at Old Westbury,NY,3800,20857,0.4841
SUNY College at Plattsburgh,NY,3925,26640,0.6477
Empire State University,NY,7027,17645,0.2485
SUNY Maritime College,NY,1291,28019,0.7282
Syracuse University,NY,15071,77494,0.8343
Talmudical Seminary Oholei Torah,NY,347,22617,0.1613
Talmudical Institute of Upstate New York,NY,14,14550,1
Touro University,NY,4005,33946,0.6784
Union College,NY,2077,78611,0.8464
United Talmudical Seminary,NY,2104,24485,0.5887
United States Merchant Marine Academy,NY,931,9380,0.7717
Utica University,NY,2526,36222,0.5796
Vassar College,NY,2430,80784,0.9196
Villa Maria College,NY,455,32007,0.3034
School of Visual Arts,NY,3518,72488,0.7384
Wagner College,NY,1638,62075,0.6168
Webb Institute,NY,102,76035,0.8929
Wells College,NY,349,48783,0.5076
Yeshiva Karlin Stolin,NY,122,16913,0.4
Yeshiva of Nitra Rabbinical College,NY,214,23550,0.1719
Yeshivath Shaar Hatorah,NY,71,20480,0.56
Yeshiva University,NY,2820,66643,0.8457
Yeshivath Viznitz,NY,778,16096,0.7358
Appalachian State University,NC,18467,20735,0.7516
Barton College,NC,1057,46781,0.475
Belmont Abbey College,NC,1413,32424,0.4693
Bennett College,NC,168,35872,0.193
Brevard College,NC,731,44388,0.3581
Campbell University,NC,2933,56823,0.5561
Catawba College,NC,1076,46573,0.5616
Chowan University,NC,800,37910,0.2548
Davidson College,NC,1922,73200,0.9163
Duke University,NC,6570,81138,0.9663
East Carolina University,NC,20385,23104,0.6514
Elizabeth City State University,NC,1912,13312,0.4208
Elon University,NC,6337,55329,0.8326
Fayetteville State University,NC,5218,16342,0.4359
Gardner-Webb University,NC,1811,46349,0.5248
Greensboro College,NC,619,33504,0.4016
Guilford College,NC,1022,54954,0.4941
High Point University,NC,4965,58699,0.6817
Johnson C Smith University,NC,1041,33121,0.4286
Lees-McRae College,NC,854,42325,0.4624
Lenoir-Rhyne University,NC,1393,55228,0.513
Livingstone College,NC,839,28236,0.2553
Mars Hill University,NC,980,46975,0.4098
Meredith College,NC,1294,52815,0.6777
Methodist University,NC,1442,53462,0.408
Montreat College,NC,816,42969,0.4172
University of Mount Olive,NC,1784,34024,0.4873
North Carolina A & T State University,NC,11553,18518,0.5668
University of North Carolina at Asheville,NC,2803,21030,0.5867
University of North Carolina at Chapel Hill,NC,19921,24711,0.9132
University of North Carolina at Charlotte,NC,23063,21908,0.6996
University of North Carolina at Greensboro,NC,13862,19229,0.5799
North Carolina Central University,NC,5101,24744,0.4424
University of North Carolina School of the Arts,NC,915,23784,0.8169
North Carolina State University at Raleigh,NC,25109,24852,0.8463
North Carolina Wesleyan University,NC,1204,47109,0.3836
University of North Carolina Wilmington,NC,13960,25332,0.7428
William Peace University,NC,640,48188,0.4286
University of North Carolina at Pembroke,NC,5544,15183,0.4517
Pfeiffer University,NC,683,46678,0.3464
Queens University of Charlotte,NC,1301,54425,0.6859
Mid-Atlantic Christian University,NC,125,31575,0.4348
Saint Augustine's University,NC,937,31041,0.2035
Salem College,NC,331,44380,0.6176
Shaw University,NC,918,29754,0.1375
St. Andrews University,NC,780,48850,0.2768
Southeastern Baptist Theological Seminary,NC,458,20940,0.5556
Wake Forest University,NC,5446,79776,0.8964
Warren Wilson College,NC,697,54106,0.4486
Wingate University,NC,2509,55125,0.573
Winston-Salem State University,NC,4449,22372,0.4957
Western Carolina University,NC,9809,18731,0.6059
Dickinson State University,ND,1148,20098,0.4444
University of Jamestown,ND,968,35968,0.4885
University of Mary,ND,2149,31705,0.637
Mayville State University,ND,767,19966,0.3459
Minot State University,ND,2168,17273,0.4487
University of North Dakota,ND,9066,23680,0.6306
North Dakota State University-Main Campus,ND,9795,22936,0.6317
Trinity Bible College and Graduate School,ND,162,28135,0.4074
Valley City State University,ND,914,19362,0.4747
University of Akron Main Campus,OH,10099,23479,0.4772
Allegheny Wesleyan College,OH,77,14433,0.4
Art Academy of Cincinnati,OH,259,45274,0.4909
Ashland University,OH,2332,36822,0.6023
Baldwin Wallace University,OH,2708,53687,0.652
Bluffton University,OH,649,49458,0.4567
Bowling Green State University-Main Campus,OH,12223,27721,0.6142
Capital University,OH,1905,53060,0.6108
Case Western Reserve University,OH,5927,73706,0.8583
Cedarville University,OH,3851,45051,0.7503
Central State University,OH,5395,19757,0.254
The Christ College of Nursing and Health Sciences,OH,860,27952,0.5342
University of Cincinnati-Main Campus,OH,27880,27473,0.7205
Ohio Christian University,OH,929,33152,0.322
Cleveland Institute of Art,OH,575,61751,0.7313
Cleveland Institute of Music,OH,194,57954,0.8269
Cleveland State University,OH,9502,25191,0.4894
Columbus College of Art and Design,OH,956,50459,0.5984
University of Dayton,OH,8349,62510,0.8135
Defiance College,OH,478,48202,0.4191
Denison University,OH,2406,73725,0.8457
The University of Findlay,OH,2257,51270,0.6544
Franklin University,OH,5117,25199,0.493
Gods Bible School and College,OH,268,16030,0.451
Heidelberg University,OH,913,46603,0.5447
Hiram College,OH,737,38329,0.5266
John Carroll University,OH,2358,60766,0.7818
Kent State University at Kent,OH,19179,27976,0.6478
Kenyon College,OH,1877,80270,0.8727
Kettering College,OH,572,27080,0.5
Lake Erie College,OH,662,48054,0.4201
Lourdes University,OH,749,40824,0.5
Malone University,OH,818,46398,0.5113
Marietta College,OH,1064,51777,0.5041
Miami University-Hamilton,OH,2065,15871,0.1946
Miami University-Middletown,OH,946,17469,0.2252
Miami University-Oxford,OH,16721,35642,0.8069
Mount Carmel College of Nursing,OH,628,20151,0.6465
University of Mount Union,OH,1867,45724,0.6193
Mount Vernon Nazarene University,OH,1481,46543,0.686
Mount Saint Joseph University,OH,1045,42356,0.5083
Muskingum University,OH,1436,43742,0.5975
Notre Dame College,OH,1067,44370,0.4211
Oberlin College,OH,2986,81502,0.8346
Ohio Dominican University,OH,795,45465,0.5066
Ohio Northern University,OH,2402,51618,0.7241
Ohio State University-Lima Campus,OH,731,18048,0.2082
Ohio State University-Marion Campus,OH,833,17993,0.1675
Ohio State University-Main Campus,OH,45140,28133,0.8801
Ohio University-Main Campus,OH,17611,28182,0.6506
Ohio Wesleyan University,OH,1401,64069,0.6605
Otterbein University,OH,2097,46735,0.6941
Rabbinical College Telshe,OH,55,20800,0.1429
Shawnee State University,OH,2425,21407,0.3518
Franciscan University of Steubenville,OH,2605,42004,0.7627
Tiffin University,OH,1985,44369,0.4525
University of Toledo,OH,10787,25294,0.5485
Union Institute & University,OH,468,31680,0.5
Ursuline College,OH,618,46641,0.4811
The North Coast College,OH,43,36935,0.2381
Walsh University,OH,1454,44935,0.5849
Wilberforce University,OH,639,23450,0.4106
Wilmington College,OH,1011,40582,0.5097
Wittenberg University,OH,1235,55565,0.5732
The College of Wooster,OH,1960,70687,0.7403
Wright State University-Main Campus,OH,6327,23352,0.4378
Wright State University-Lake Campus,OH,984,17235,0.4255
Xavier University,OH,4837,59338,0.7376
Youngstown State University,OH,7741,19194,0.4897
Bacone College,OK,299,31120,0.9897
Oklahoma Wesleyan University,OK,722,42458,0.3394
Southern Nazarene University,OK,908,42019,0.5747
Cameron University,OK,2643,17194,0.2469
University of Central Oklahoma,OK,10400,24920,0.3528
East Central University,OK,2584,17634,0.314
Randall University,OK,242,29213,0.1525
Langston University,OK,1774,20709,0.2289
Northeastern State University,OK,4885,18427,0.38
Northwestern Oklahoma State University,OK,1430,18714,0.2685
Oklahoma Christian University,OK,1856,37935,0.5692
Oklahoma Panhandle State University,OK,1124,14525,0.2197
Oklahoma State University-Main Campus,OK,20362,24770,0.649
Oklahoma Baptist University,OK,1246,45693,0.5405
Oklahoma City University,OK,1344,46239,0.693
University of Oklahoma-Norman Campus,OK,20842,31025,0.7606
Oral Roberts University,OK,3250,46011,0.6288
Rogers State University,OK,2507,20553,0.2508
University of Science and Arts of Oklahoma,OK,808,19687,0.4039
Southeastern Oklahoma State University,OK,2853,17907,0.3353
Southwestern Christian University,OK,403,30318,0.1548
Southwestern Oklahoma State University,OK,3596,21769,0.3913
University of Tulsa,OK,2612,63577,0.7219
Eastern Oregon University,OR,2262,23018,0.3815
New Hope Christian College-Eugene,OR,37,27000,0.25
George Fox University,OR,2495,53404,0.7147
Lewis & Clark College,OR,2187,73969,0.7347
Linfield University,OR,1667,61344,0.7066
Mount Angel Seminary,OR,28,44224,0.4
Multnomah University,OR,375,45129,0.3857
Bushnell University,OR,502,44742,0.5185
Oregon Institute of Technology,OR,3088,25910,0.5723
Oregon State University,OR,28407,28827,0.7004
University of Oregon,OR,19443,30622,0.7341
Pacific Northwest College of Art,OR,376,63974,0.4051
Pacific University,OR,1546,66812,0.6613
Portland State University,OR,14299,21039,0.5254
University of Portland,OR,3368,66047,0.7898
Reed College,OR,1494,80970,0.796
Southern Oregon University,OR,2898,24475,0.4637
Warner Pacific University,OR,440,32178,0.427
Corban University,OR,795,48823,0.5401
Willamette University,OR,1335,60106,0.7606
Western Oregon University,OR,3292,23734,0.4764
Bryn Athyn College of the New Church,PA,271,38557,0.5
Albright College,PA,1276,42833,0.4832
Allegheny College,PA,1324,69353,0.6776
DeSales University,PA,2175,56928,0.6768
Alvernia University,PA,2000,53109,0.6319
Clarks Summit University,PA,376,35824,0.6437
Arcadia University,PA,1750,60526,0.6355
Bryn Mawr College,PA,1402,75690,0.8256
Bucknell University,PA,3732,77740,0.8653
Cabrini University,PA,1145,48016,0.5052
Carlow University,PA,1243,44265,0.5602
Carnegie Mellon University,PA,7005,77465,0.915
Cedar Crest College,PA,933,54458,0.6243
Central Penn College,PA,844,26955,0.3587
Chatham University,PA,1207,55395,0.6804
Chestnut Hill College,PA,939,54628,0.6213
Cheyney University of Pennsylvania,PA,686,24886,0.1492
Curtis Institute of Music,PA,103,32446,0.8333
Delaware Valley University,PA,1631,57745,0.5412
Dickinson College,PA,2083,77188,0.8369
Drexel University,PA,13933,72427,0.782
Duquesne University,PA,5087,60583,0.7771
East Stroudsburg University of Pennsylvania,PA,4324,24149,0.4573
Eastern University,PA,1692,52302,0.59
Elizabethtown College,PA,1703,48098,0.7624
Franklin and Marshall College,PA,1986,80319,0.856
Gannon University,PA,2588,48076,0.6965
Geneva College,PA,1013,41066,0.6886
Gettysburg College,PA,2236,76330,0.8161
Gwynedd Mercy University,PA,1217,51628,0.565
Haverford College,PA,1417,81420,0.914
Holy Family University,PA,2124,37674,0.5854
Hussian College-Philadelphia,PA,80,33858,0.4
Immaculata University,PA,1248,44986,0.6111
Indiana University of Pennsylvania-Main Campus,PA,6611,27923,0.521
Juniata College,PA,1116,65999,0.7056
Keystone College,PA,1009,30927,0.43120000000000003
King's College,PA,1595,55232,0.5754
Kutztown University of Pennsylvania,PA,6334,27730,0.5636
La Roche University,PA,794,45704,0.553
La Salle University,PA,2275,46521,0.6198
Lafayette College,PA,2725,75934,0.8918
Lancaster Bible College,PA,1286,39882,0.6829
Lebanon Valley College,PA,1618,62016,0.6824
Lehigh University,PA,5612,74573,0.9119
Lincoln University,PA,1704,26546,0.4468
Lycoming College,PA,1046,59747,0.6385
Marywood University,PA,1793,50781,0.7554
Mercyhurst University,PA,2367,56706,0.6333
Messiah University,PA,2327,52125,0.7825
Millersville University of Pennsylvania,PA,5697,26480,0.5702
Misericordia University,PA,1727,50605,0.7494
Moore College of Art and Design,PA,355,64551,0.6143
Moravian University,PA,1864,62571,0.6985
Mount Aloysius College,PA,1097,38096,0.4596
Muhlenberg College,PA,1933,71431,0.828
Neumann University,PA,1595,54330,0.5413
Pennsylvania State University-Penn State Erie-Behrend College,PA,3149,31624,0.4229
Pennsylvania State University-Penn State New Kensington,PA,440,26795,0.2821
Pennsylvania State University-Penn State Shenango,PA,223,28582,0.2333
Pennsylvania State University-Penn State Wilkes-Barre,PA,351,26114,0.2016
Pennsylvania State University-Penn State Scranton,PA,860,26498,0.343
Pennsylvania State University-Penn State Lehigh Valley,PA,843,27409,0.1244
Pennsylvania State University-Penn State Altoona,PA,2565,31423,0.1613
Pennsylvania State University-Penn State Beaver,PA,503,26403,0.2018
Pennsylvania State University-Penn State Berks,PA,2024,30721,0.3343
Pennsylvania State University-Penn State Harrisburg,PA,4053,31448,0.249
Pennsylvania State University-Penn State Brandywine,PA,1189,29564,0.2562
Pennsylvania State University-Penn State Fayette- Eberly,PA,420,23740,0.3016
Pennsylvania State University-Penn State Hazleton,PA,470,28971,0.1623
Pennsylvania State University-Main Campus,PA,41417,38049,0.8328
Pennsylvania State University-Penn State Greater Allegheny,PA,356,28706,0.2102
Pennsylvania State University-Penn State Mont Alto,PA,626,26565,0.2738
Pennsylvania State University-Penn State Abington,PA,3072,28611,0.2839
