INSTNM,STABBR,UGDS,COSTT4_A,C150_4
Thomas Aquinas College,CA,516,38428,0.8506
Westmont College,CA,1284,67000,0.7356
Whittier College,CA,1124,62130,0.6557
Woodbury University,CA,868,55779,0.5481
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,CA,142,27600,0.18
Adams State University,CO,1307,22772,0.28
University of Colorado Denver/Anschutz Medical Campus,CO,10922,23895,0.4385
University of Colorado Colorado Springs,CO,9102,23180,0.4251
University of Colorado Boulder,CO,30598,32351,0.7474
Colorado Christian University,CO,5399,48130,0.6057
Colorado College,CO,2174,79229,0.8609
Colorado School of Mines,CO,5662,37114,0.8181
Colorado State University-Fort Collins,CO,25150,28277,0.6662
Colorado Technical University-Colorado Springs,CO,22315,22634,0.1962
University of Denver,CO,5986,72540,0.7745
Fort Lewis College,CO,3113,24017,0.3877
Colorado Mesa University,CO,7654,22346,0.3915
Metropolitan State University of Denver,CO,14947,22428,0.2898
Naropa University,CO,338,51737,0.3103
University of Northern Colorado,CO,6024,26352,0.5191
Regis University,CO,2239,52045,0.668
Rocky Mountain College of Art and Design,CO,2041,30447,0.4091
Colorado State University Pueblo,CO,3008,22545,0.3505
Western Colorado University,CO,1673,24833,0.4698
Albertus Magnus College,CT,978,53621,0.4961
University of Bridgeport,CT,1604,53749,0.4689
Central Connecticut State University,CT,7500,22904,0.5347
Charter Oak State College,CT,1426,18386,1
Connecticut College,CT,1915,79575,0.8411
University of Connecticut,CT,18768,35236,0.8318
Eastern Connecticut State University,CT,3534,28648,0.6006
Fairfield University,CT,4706,71215,0.8419
University of Hartford,CT,3876,60887,0.5694
Mitchell College,CT,480,52006,0.6218
University of New Haven,CT,4765,60918,0.621
Paier College,CT,198,34613,0.5714
Post University,CT,14297,27054,0.3155
Quinnipiac University,CT,6021,68761,0.7726
Sacred Heart University,CT,6729,64621,0.7292
University of Saint Joseph,CT,821,54432,0.608
Southern Connecticut State University,CT,6246,25857,0.5322
Trinity College,CT,2141,79605,0.8357
Wesleyan University,CT,3006,82245,0.9315
Western Connecticut State University,CT,3679,22683,0.5121
Yale University,CT,6639,82170,0.9781
Delaware State University,DE,4588,24248,0.4548
University of Delaware,DE,18665,28744,0.7961
Goldey-Beacom College,DE,617,23846,0.6709
Wilmington University,DE,8210,19155,0.1957
American University,DC,7669,68494,0.7943
The Catholic University of America,DC,2958,70559,0.7635
