INSTNM,STABBR,UGDS,COSTT4_A,C150_4,ACCREDAGENCY,SCHTYPE
Ball State University,IN,13988,26146,0.6234,Higher Learning Commission,1
Bethel University,IN,1008,43885,0.5322,Higher Learning Commission,2
Butler University,IN,4317,65970,0.8038,Higher Learning Commission,2
Calumet College of Saint Joseph,IN,529,32968,0.2286,Higher Learning Commission,2
DePauw University,IN,1905,74320,0.7469,Higher Learning Commission,2
Earlham College,IN,670,67684,0.69,Higher Learning Commission,2
University of Evansville,IN,1539,57451,0.6446,Higher Learning Commission,2
Franklin College,IN,900,54178,0.603,Higher Learning Commission,2
Goshen College,IN,773,48449,0.65,Higher Learning Commission,2
Grace College and Theological Seminary,IN,1464,41838,0.6877,Higher Learning Commission,2
Hanover College,IN,1031,58821,0.6713,Higher Learning Commission,2
Holy Cross College,IN,639,50881,0.7289,Higher Learning Commission,2
Huntington University,IN,1082,42157,0.636,Higher Learning Commission,2
Purdue University Fort Wayne,IN,5484,22183,0.3627,Higher Learning Commission,1
Indiana University-Indianapolis,IN,13830,23316,0.5445,Higher Learning Commission,1
University of Indianapolis,IN,3005,52590,0.5582,Higher Learning Commission,2
Indiana Institute of Technology,IN,1441,45879,0.4779,Higher Learning Commission,2
Indiana State University,IN,6188,24535,0.4288,Higher Learning Commission,1
Indiana University-Kokomo,IN,2352,11837,0.4561,Higher Learning Commission,1
Indiana University-South Bend,IN,3933,17364,0.4009,Higher Learning Commission,1
Indiana University-Bloomington,IN,37806,28801,0.8021,Higher Learning Commission,1
Indiana University-Northwest,IN,2661,13989,0.3738,Higher Learning Commission,1
Indiana University-Southeast,IN,3170,16411,0.3919,Higher Learning Commission,1
Indiana University-East,IN,2589,16954,0.3958,Higher Learning Commission,1
Manchester University,IN,936,49993,0.4608,Higher Learning Commission,2
Marian University,IN,2266,56258,0.6722,Higher Learning Commission,2
Indiana Wesleyan University-Marion,IN,1974,44776,0.6671,Higher Learning Commission,2
University of Notre Dame,IN,8818,83271,0.9517,Higher Learning Commission,2
Oakland City University,IN,499,42441,0.6552,Higher Learning Commission,2
Rose-Hulman Institute of Technology,IN,2309,77890,0.7816,Higher Learning Commission,2
University of Saint Francis-Fort Wayne,IN,1567,47223,0.5497,Higher Learning Commission,2
Saint Mary-of-the-Woods College,IN,853,49512,0.4663,Higher Learning Commission,2
Saint Mary's College,IN,1458,66478,0.6933,Higher Learning Commission,2
Taylor University,IN,2025,53405,0.7381,Higher Learning Commission,2
Trine University,IN,2324,51109,0.6438,Higher Learning Commission,2
Valparaiso University,IN,2083,58437,0.7037,Higher Learning Commission,2
Wabash College,IN,866,65144,0.7701,Higher Learning Commission,2
Briar Cliff University,IA,624,51493,0.4751,Higher Learning Commission,2
Buena Vista University,IA,1366,54222,0.6169,Higher Learning Commission,2
Central College,IA,1070,37773,0.6619,Higher Learning Commission,2
Clarke University,IA,742,55782,0.5612,Higher Learning Commission,2
Coe College,IA,1164,67372,0.659,Higher Learning Commission,2
Cornell College,IA,1086,66249,0.6182,Higher Learning Commission,2
Divine Word College,IA,64,NA,1,Higher Learning Commission,2
Dordt University,IA,1597,51733,0.7014,Higher Learning Commission,2
Drake University,IA,2543,64835,0.7403,Higher Learning Commission,2
University of Dubuque,IA,1440,53806,0.4008,Higher Learning Commission,2
Faith Baptist Bible College and Theological Seminary,IA,405,32722,0.6753,Higher Learning Commission,2
Graceland University-Lamoni,IA,798,48294,0.4195,Higher Learning Commission,2
Grand View University,IA,1486,48522,0.5399,Higher Learning Commission,2
Grinnell College,IA,1729,83440,0.8812,Higher Learning Commission,2
Iowa State University,IA,25367,24018,0.7532,Higher Learning Commission,1
University of Iowa,IA,22264,28596,0.7463,Higher Learning Commission,1
Loras College,IA,1083,50537,0.676,Higher Learning Commission,2
Luther College,IA,1379,65461,0.7112,Higher Learning Commission,2
Maharishi International University,IA,922,27892,0.5,Higher Learning Commission,2
Mercy College of Health Sciences,IA,867,34398,0.6552,Higher Learning Commission,2
Morningside University,IA,1163,52577,0.5014,Higher Learning Commission,2
Mount Mercy University,IA,1107,55054,0.5774,Higher Learning Commission,2
The University of Arizona Global Campus,AZ,20152,37594,0.1068,Western Association of Schools and Colleges Senior Colleges and University Commission,1
University of Northern Iowa,IA,7529,22278,0.6792,Higher Learning Commission,1
Northwestern College,IA,1175,49783,0.6605,Higher Learning Commission,2
Saint Ambrose University,IA,1916,51141,0.6103,Higher Learning Commission,2
Simpson College,IA,1227,61227,0.6333,Higher Learning Commission,2
Upper Iowa University,IA,1994,34022,0.3389,Higher Learning Commission,2
Waldorf University,IA,1827,39675,0.2114,Higher Learning Commission,2
Wartburg College,IA,1452,64359,0.643,Higher Learning Commission,2
William Penn University,IA,1301,42874,0.3262,Higher Learning Commission,2
Baker University,KS,1100,50918,0.5779,Higher Learning Commission,2
Benedictine College,KS,2272,52206,0.6158,Higher Learning Commission,2
Bethany College,KS,569,53738,0.3574,Higher Learning Commission,2
Bethel College-North Newton,KS,504,52193,0.4112,Higher Learning Commission,2
Central Christian College of Kansas,KS,380,33327,0.2697,Higher Learning Commission,2
Emporia State University,KS,2239,21967,0.561,Higher Learning Commission,1
Fort Hays State University,KS,9733,19909,0.477,Higher Learning Commission,1
Barclay College,KS,168,42890,0.3226,Higher Learning Commission,2
Friends University,KS,1048,50482,0.4335,Higher Learning Commission,2
University of Kansas,KS,21217,26751,0.6881,Higher Learning Commission,1
Newman University,KS,851,46489,0.5281,Higher Learning Commission,2
Kansas State University,KS,15142,27402,0.7108,Higher Learning Commission,1
Kansas Wesleyan University,KS,956,47437,0.4863,Higher Learning Commission,2
Manhattan Christian College,KS,146,34466,0.4429,Higher Learning Commission,2
McPherson College,KS,872,50611,0.3392,Higher Learning Commission,2
MidAmerica Nazarene University,KS,983,57355,0.5361,Higher Learning Commission,2
Ottawa University-Ottawa,KS,870,51856,0.279,Higher Learning Commission,2
Pittsburg State University,KS,4210,22099,0.5659,Higher Learning Commission,1
University of Saint Mary,KS,925,48728,0.4776,Higher Learning Commission,2
Southwestern College,KS,924,58432,0.3568,Higher Learning Commission,2
Sterling College,KS,538,47185,0.4129,Higher Learning Commission,2
Tabor College,KS,494,50350,0.3374,Higher Learning Commission,2
Washburn University,KS,4562,21512,0.5296,Higher Learning Commission,1
Wichita State University,KS,10780,21780,0.5103,Higher Learning Commission,1
Alice Lloyd College,KY,558,31200,0.3892,Southern Association of Colleges and Schools Commission on Colleges,2
Asbury University,KY,1420,47459,0.6498,Southern Association of Colleges and Schools Commission on Colleges,2
Bellarmine University,KY,2161,61691,0.6436,Southern Association of Colleges and Schools Commission on Colleges,2
Berea College,KY,1513,60718,0.5822,Southern Association of Colleges and Schools Commission on Colleges,2
Brescia University,KY,545,44328,0.5371,Southern Association of Colleges and Schools Commission on Colleges,2
Campbellsville University,KY,2840,42603,0.4201,Southern Association of Colleges and Schools Commission on Colleges,2
Centre College,KY,1400,67787,0.8067,Southern Association of Colleges and Schools Commission on Colleges,2
Clear Creek Baptist Bible College,KY,159,21040,0.3846,Southern Association of Colleges and Schools Commission on Colleges,2
Galen College of Nursing-Louisville,KY,4801,NA,0.6146,Southern Association of Colleges and Schools Commission on Colleges,3
University of the Cumberlands,KY,6941,25567,0.5043,Southern Association of Colleges and Schools Commission on Colleges,2
Eastern Kentucky University,KY,12318,23735,0.5004,Southern Association of Colleges and Schools Commission on Colleges,1
Georgetown College,KY,1097,56886,0.4885,Southern Association of Colleges and Schools Commission on Colleges,2
Kentucky State University,KY,1309,21727,0.319,Southern Association of Colleges and Schools Commission on Colleges,1
Kentucky Wesleyan College,KY,842,46203,0.468,Southern Association of Colleges and Schools Commission on Colleges,2
University of Kentucky,KY,24763,34391,0.7142,Southern Association of Colleges and Schools Commission on Colleges,1
Kentucky Christian University,KY,429,40168,0.3667,Southern Association of Colleges and Schools Commission on Colleges,2
Lindsey Wilson University,KY,1585,40879,0.4406,Southern Association of Colleges and Schools Commission on Colleges,2
University of Louisville,KY,14727,32941,0.6123,Southern Association of Colleges and Schools Commission on Colleges,1
Midway University,KY,1262,48805,0.4069,Southern Association of Colleges and Schools Commission on Colleges,2
Morehead State University,KY,4578,21961,0.5219,Southern Association of Colleges and Schools Commission on Colleges,1
Murray State University,KY,6688,23485,0.6132,Southern Association of Colleges and Schools Commission on Colleges,1
Northern Kentucky University,KY,8246,19725,0.5224,Southern Association of Colleges and Schools Commission on Colleges,1
University of Pikeville,KY,1135,33420,0.4167,Southern Association of Colleges and Schools Commission on Colleges,2
The Southern Baptist Theological Seminary,KY,848,NA,0.4025,Southern Association of Colleges and Schools Commission on Colleges,2
Spalding University,KY,583,45530,0.5167,Southern Association of Colleges and Schools Commission on Colleges,2
Thomas More University,KY,1293,49452,0.405,Southern Association of Colleges and Schools Commission on Colleges,2
Transylvania University,KY,1005,60993,0.7148,Southern Association of Colleges and Schools Commission on Colleges,2
Union Commonwealth University,KY,746,44322,0.3213,Southern Association of Colleges and Schools Commission on Colleges,2
Western Kentucky University,KY,12155,24188,0.5556,Southern Association of Colleges and Schools Commission on Colleges,1
Centenary College of Louisiana,LA,685,60620,0.5621,Southern Association of Colleges and Schools Commission on Colleges,2
Dillard University,LA,1063,39202,0.4328,Southern Association of Colleges and Schools Commission on Colleges,2
Grambling State University,LA,4164,25367,0.3616,Southern Association of Colleges and Schools Commission on Colleges,1
Louisiana State University at Alexandria,LA,5632,15550,0.3422,Southern Association of Colleges and Schools Commission on Colleges,1
Louisiana State University and Agricultural & Mechanical College,LA,30594,34705,0.6881,Southern Association of Colleges and Schools Commission on Colleges,1
Louisiana State University-Shreveport,LA,2153,19461,0.3754,Southern Association of Colleges and Schools Commission on Colleges,1
Louisiana Christian University,LA,672,33791,0.4387,Southern Association of Colleges and Schools Commission on Colleges,2
Louisiana Tech University,LA,8312,24280,0.6382,Southern Association of Colleges and Schools Commission on Colleges,1
Loyola University New Orleans,LA,2812,64157,0.5903,Southern Association of Colleges and Schools Commission on Colleges,2
McNeese State University,LA,5005,22810,0.4704,Southern Association of Colleges and Schools Commission on Colleges,1
University of New Orleans,LA,4638,23431,0.3799,Southern Association of Colleges and Schools Commission on Colleges,1
New Orleans Baptist Theological Seminary,LA,865,21660,0.7391,Southern Association of Colleges and Schools Commission on Colleges,2
Nicholls State University,LA,4737,23481,0.538,Southern Association of Colleges and Schools Commission on Colleges,1
University of Louisiana at Monroe,LA,5022,24932,0.542,Southern Association of Colleges and Schools Commission on Colleges,1
Northwestern State University of Louisiana,LA,5519,25431,0.432,Southern Association of Colleges and Schools Commission on Colleges,1
University of Holy Cross,LA,471,27541,0.4857,Southern Association of Colleges and Schools Commission on Colleges,2
Franciscan Missionaries of Our Lady University,LA,821,28490,0.4545,Southern Association of Colleges and Schools Commission on Colleges,2
Saint Joseph Seminary College,LA,93,49944,0.4783,Southern Association of Colleges and Schools Commission on Colleges,2
Southeastern Louisiana University,LA,9514,23604,0.4541,Southern Association of Colleges and Schools Commission on Colleges,1
Southern University and A & M College,LA,5519,26341,0.2709,Southern Association of Colleges and Schools Commission on Colleges,1
Southern University at New Orleans,LA,1055,23905,0.1311,Southern Association of Colleges and Schools Commission on Colleges,1
University of Louisiana at Lafayette,LA,12428,24884,0.5263,Southern Association of Colleges and Schools Commission on Colleges,1
Tulane University of Louisiana,LA,7767,87004,0.8614,Southern Association of Colleges and Schools Commission on Colleges,2
Xavier University of Louisiana,LA,2628,40434,0.4855,Southern Association of Colleges and Schools Commission on Colleges,2
College of the Atlantic,ME,353,58266,0.6829,New England Commission on Higher Education,2
Bates College,ME,1760,83532,0.8969,New England Commission on Higher Education,2
Bowdoin College,ME,1873,85100,0.9528,New England Commission on Higher Education,2
Colby College,ME,2407,85420,0.8879,New England Commission on Higher Education,2
University of Maine at Augusta,ME,2659,19052,0.2698,New England Commission on Higher Education,1
University of Maine at Farmington,ME,1140,25822,0.5154,New England Commission on Higher Education,1
University of Maine at Fort Kent,ME,599,18703,0.3944,New England Commission on Higher Education,1
University of Maine,ME,8496,27328,0.5494,New England Commission on Higher Education,1
Maine Maritime Academy,ME,942,31046,0.5818,New England Commission on Higher Education,1
University of Maine at Presque Isle,ME,1913,19113,0.5155,New England Commission on Higher Education,1
University of New England,ME,2135,63245,0.6835,New England Commission on Higher Education,2
Maine College of Art & Design,ME,415,60128,0.5155,New England Commission on Higher Education,2
Saint Joseph's College of Maine,ME,964,59782,0.6574,New England Commission on Higher Education,2
University of Southern Maine,ME,4222,23717,0.4035,New England Commission on Higher Education,1
Thomas College,ME,647,47198,0.5369,New England Commission on Higher Education,2
Unity Environmental University,ME,6483,21931,0.2867,New England Commission on Higher Education,2
University of Baltimore,MD,1133,26406,0.3816,Middle States Commission on Higher Education,1
Bowie State University,MD,5043,25220,0.382,Middle States Commission on Higher Education,1
Capitol Technology University,MD,315,42471,0.4268,Middle States Commission on Higher Education,2
Washington Adventist University,MD,452,34309,0.2865,Middle States Commission on Higher Education,2
Coppin State University,MD,1844,23748,0.2622,Middle States Commission on Higher Education,1
Frostburg State University,MD,2909,27056,0.4966,Middle States Commission on Higher Education,1
Goucher College,MD,964,70544,0.5734,Middle States Commission on Higher Education,2
Hood College,MD,1194,61219,0.569,Middle States Commission on Higher Education,2
Johns Hopkins University,MD,5693,85947,0.9378,Middle States Commission on Higher Education,2
Loyola University Maryland,MD,3869,74055,0.7919,Middle States Commission on Higher Education,2
University of Maryland Global Campus,MD,49664,25400,0.3333,Middle States Commission on Higher Education,1
University of Maryland-Baltimore County,MD,10701,28576,0.7001,Middle States Commission on Higher Education,1
University of Maryland-College Park,MD,30760,29299,0.8859,Middle States Commission on Higher Education,1
Maryland Institute College of Art,MD,1189,76860,0.7224,Middle States Commission on Higher Education,2
University of Maryland Eastern Shore,MD,2391,25941,0.3533,Middle States Commission on Higher Education,1
Morgan State University,MD,9019,25413,0.4087,Middle States Commission on Higher Education,1
Mount St. Mary's University,MD,1768,63731,0.6539,Middle States Commission on Higher Education,2
Notre Dame of Maryland University,MD,709,59320,0.5,Middle States Commission on Higher Education,2
Salisbury University,MD,6057,28310,0.6815,Middle States Commission on Higher Education,1
St. Mary's College of Maryland,MD,1603,31865,0.6995,Middle States Commission on Higher Education,1
St. John's College,MD,471,55540,0.7143,Middle States Commission on Higher Education,2
Towson University,MD,16136,28535,0.6946,Middle States Commission on Higher Education,1
Stevenson University,MD,3102,58394,0.6849,Middle States Commission on Higher Education,2
Washington College,MD,891,73314,0.6537,Middle States Commission on Higher Education,2
McDaniel College,MD,1617,65294,0.6329,Middle States Commission on Higher Education,2
Hult International Business School,MA,618,79075,0.6667,New England Commission on Higher Education,2
American International College,MA,1017,59270,0.4591,New England Commission on Higher Education,2
Amherst College,MA,1911,87640,0.939,New England Commission on Higher Education,2
Anna Maria College,MA,906,61888,0.4623,New England Commission on Higher Education,2
Assumption University,MA,1669,65551,0.7523,New England Commission on Higher Education,2
Babson College,MA,2728,80192,0.9312,New England Commission on Higher Education,2
Bay Path University,MA,1108,47308,0.4394,New England Commission on Higher Education,2
Bentley University,MA,4474,79548,0.8679,New England Commission on Higher Education,2
Berklee College of Music,MA,7468,72700,0.6731,New England Commission on Higher Education,2
Boston College,MA,10085,89493,0.9083,New England Commission on Higher Education,2
Boston University,MA,18248,86285,0.8866,New England Commission on Higher Education,2
Brandeis University,MA,3618,86448,0.8603,New England Commission on Higher Education,2
Bridgewater State University,MA,7829,26160,0.5341,New England Commission on Higher Education,1
Cambridge College,MA,532,34072,0.1111,New England Commission on Higher Education,2
Clark University,MA,2214,68432,0.7694,New England Commission on Higher Education,2
Curry College,MA,1780,64020,0.5112,New England Commission on Higher Education,2
Dean College,MA,1089,64889,0.5359,New England Commission on Higher Education,2
Emerson College,MA,3870,80399,0.7711,New England Commission on Higher Education,2
Emmanuel College,MA,1854,65252,0.6751,New England Commission on Higher Education,2
Endicott College,MA,3125,59328,0.7556,New England Commission on Higher Education,2
Fisher College,MA,1167,53921,0.2775,New England Commission on Higher Education,2
Fitchburg State University,MA,2752,25555,0.5512,New England Commission on Higher Education,1
Framingham State University,MA,2566,27413,0.478,New England Commission on Higher Education,1
Gordon College,MA,1278,42446,0.6854,New England Commission on Higher Education,2
Hampshire College,MA,839,74195,0.5426,New England Commission on Higher Education,2
Harvard University,MA,7601,85540,0.9758,New England Commission on Higher Education,2
Hellenic College-Holy Cross Greek Orthodox School of Theology,MA,64,41282,0.4444,New England Commission on Higher Education,2
College of the Holy Cross,MA,3106,80334,0.8733,New England Commission on Higher Education,2
Lasell University,MA,1226,42434,0.5864,New England Commission on Higher Education,2
Lesley University,MA,1122,51538,0.5802,New England Commission on Higher Education,2
University of Massachusetts-Lowell,MA,11434,30786,0.6482,New England Commission on Higher Education,1
University of Massachusetts-Amherst,MA,23671,34549,0.8326,New England Commission on Higher Education,1
University of Massachusetts-Boston,MA,11512,30544,0.4941,New England Commission on Higher Education,1
Massachusetts College of Pharmacy and Health Sciences,MA,3451,65022,0.6202,New England Commission on Higher Education,2
Massachusetts College of Art and Design,MA,1831,34239,0.6887,New England Commission on Higher Education,1
Massachusetts Institute of Technology,MA,4535,82730,0.9641,New England Commission on Higher Education,2
Massachusetts Maritime Academy,MA,1395,31367,0.7406,New England Commission on Higher Education,1
Merrimack College,MA,3916,70038,0.7005,New England Commission on Higher Education,2
Montserrat College of Art,MA,226,58616,0.5347,New England Commission on Higher Education,2
Mount Holyoke College,MA,2169,84926,0.8439,New England Commission on Higher Education,2
The New England Conservatory of Music,MA,393,81277,0.7339,New England Commission on Higher Education,2
Nichols College,MA,1163,58310,0.6261,New England Commission on Higher Education,2
Massachusetts College of Liberal Arts,MA,713,26026,0.5564,New England Commission on Higher Education,1
Northeastern University,MA,17326,84641,0.9054,New England Commission on Higher Education,2
College of Our Lady of the Elms,MA,949,54027,0.6809,New England Commission on Higher Education,2
Regis College,MA,956,65546,0.7217,New England Commission on Higher Education,2
Salem State University,MA,4291,28291,0.4977,New England Commission on Higher Education,1
Simmons University,MA,1670,63460,0.7234,New England Commission on Higher Education,2
Smith College,MA,2544,86030,0.8905,New England Commission on Higher Education,2
Springfield College,MA,1751,60729,0.7419,New England Commission on Higher Education,2
University of Massachusetts-Dartmouth,MA,5221,33485,0.5207,New England Commission on Higher Education,1
Stonehill College,MA,2528,72714,0.76,New England Commission on Higher Education,2
Suffolk University,MA,4268,65281,0.6088,New England Commission on Higher Education,2
Tufts University,MA,7061,88300,0.9351,New England Commission on Higher Education,2
Wellesley College,MA,2300,86290,0.9153,New England Commission on Higher Education,2
Wentworth Institute of Technology,MA,3747,61096,0.6824,New England Commission on Higher Education,2
Western New England University,MA,2603,60262,0.6398,New England Commission on Higher Education,2
Westfield State University,MA,3615,27649,0.5441,New England Commission on Higher Education,1
Wheaton College (Massachusetts),MA,1773,79311,0.7282,New England Commission on Higher Education,2
Williams College,MA,2076,84860,0.9361,New England Commission on Higher Education,2
Worcester Polytechnic Institute,MA,5447,78679,0.8971,New England Commission on Higher Education,2
Worcester State University,MA,3930,22874,0.6145,New England Commission on Higher Education,1
Adrian College,MI,1604,56003,0.4842,Higher Learning Commission,2
Albion College,MI,1300,69986,0.6159,Higher Learning Commission,2
Alma College,MI,1148,63650,0.6287,Higher Learning Commission,2
Andrews University,MI,1224,45218,0.7153,Higher Learning Commission,2
Aquinas College,MI,1083,51652,0.6536,Higher Learning Commission,2
Baker College,MI,3026,24526,0.3583,Higher Learning Commission,2
Calvin University,MI,3193,54222,0.7406,Higher Learning Commission,2
Central Michigan University,MI,10035,30681,0.5872,Higher Learning Commission,1
Cleary University,MI,738,39718,0.4146,Higher Learning Commission,2
College for Creative Studies,MI,1230,66014,0.7061,Higher Learning Commission,2
Davenport University,MI,3134,37319,0.5659,Higher Learning Commission,2
University of Detroit Mercy,MI,2438,42211,0.672,Higher Learning Commission,2
Eastern Michigan University,MI,10055,29640,0.4644,Higher Learning Commission,1
Ferris State University,MI,8106,27048,0.4687,Higher Learning Commission,1
Kettering University,MI,1205,61250,0.708,Higher Learning Commission,2
Cornerstone University,MI,1298,42043,0.6187,Higher Learning Commission,2
Grand Valley State University,MI,18854,28367,0.6701,Higher Learning Commission,1
Great Lakes Christian College,MI,197,30311,0.36,Higher Learning Commission,2
Hillsdale College,MI,1573,NA,0.8971,Higher Learning Commission,2
Hope College,MI,3288,55646,0.7995,Higher Learning Commission,2
Kalamazoo College,MI,1149,74208,0.7598,Higher Learning Commission,2
Lake Superior State University,MI,1325,27154,0.5098,Higher Learning Commission,1
Lawrence Technological University,MI,1668,58166,0.6058,Higher Learning Commission,2
Madonna University,MI,1632,41038,0.6,Higher Learning Commission,2
Rochester Christian University,MI,792,41787,0.4412,Higher Learning Commission,2
University of Michigan-Ann Arbor,MI,34177,34654,0.932,Higher Learning Commission,1
Michigan State University,MI,40922,32198,0.8072,Higher Learning Commission,1
Michigan Technological University,MI,5955,34152,0.6806,Higher Learning Commission,1
University of Michigan-Dearborn,MI,5952,24040,0.5798,Higher Learning Commission,1
University of Michigan-Flint,MI,4411,20915,0.4031,Higher Learning Commission,1
Northern Michigan University,MI,6556,27841,0.5214,Higher Learning Commission,1
Northwood University,MI,1974,48780,0.6332,Higher Learning Commission,2
Oakland University,MI,12351,25182,0.5756,Higher Learning Commission,1
The University of Olivet,MI,892,47069,0.3527,Higher Learning Commission,2
Kuyper College,MI,145,38366,0.5,Higher Learning Commission,2
Saginaw Valley State University,MI,5989,24936,0.4825,Higher Learning Commission,1
Siena Heights University,MI,1495,44449,0.3862,Higher Learning Commission,2
Spring Arbor University,MI,1010,44703,0.6354,Higher Learning Commission,2
Wayne State University,MI,15587,27350,0.5844,Higher Learning Commission,1
Western Michigan University,MI,12568,29237,0.5757,Higher Learning Commission,1
Augsburg University,MN,2494,62303,0.5167,Higher Learning Commission,2
Bemidji State University,MN,3139,22744,0.4787,Higher Learning Commission,1
Bethany Lutheran College,MN,669,41013,0.5486,Higher Learning Commission,2
Bethel University,MN,1871,58569,0.7138,Higher Learning Commission,2
Carleton College,MN,2086,84893,0.896,Higher Learning Commission,2
Concordia College at Moorhead,MN,1829,45942,0.6107,Higher Learning Commission,2
Concordia University-Saint Paul,MN,3018,37239,0.459,Higher Learning Commission,2
Martin Luther College,MN,725,29250,0.715,Higher Learning Commission,2
Gustavus Adolphus College,MN,1878,67613,0.7665,Higher Learning Commission,2
Hamline University,MN,1776,58110,0.6045,Higher Learning Commission,2
Macalester College,MN,2131,82991,0.871,Higher Learning Commission,2
Minnesota State University-Mankato,MN,11703,23995,0.5395,Higher Learning Commission,1
Metropolitan State University,MN,5616,25172,0.4357,Higher Learning Commission,1
University of Minnesota-Twin Cities,MN,31855,30061,0.8528,Higher Learning Commission,1
University of Minnesota-Crookston,MN,1729,26068,0.4976,Higher Learning Commission,1
Minneapolis College of Art and Design,MN,705,59972,0.5116,Higher Learning Commission,2
University of Minnesota-Duluth,MN,7336,27680,0.6472,Higher Learning Commission,1
University of Minnesota-Morris,MN,936,27039,0.625,Higher Learning Commission,1
Minnesota State University Moorhead,MN,3072,25197,0.5732,Higher Learning Commission,1
North Central University,MN,709,44475,0.6634,Higher Learning Commission,2
University of Northwestern-St Paul,MN,1442,51325,0.6813,Higher Learning Commission,2
College of Saint Benedict,MN,1370,68453,0.7712,Higher Learning Commission,2
Saint Cloud State University,MN,5088,21116,0.4032,Higher Learning Commission,1
Saint Johns University,MN,1395,68521,0.7538,Higher Learning Commission,2
Saint Mary's University of Minnesota,MN,1073,57380,0.6601,Higher Learning Commission,2
St Olaf College,MN,3093,71843,0.84,Higher Learning Commission,2
Crown College,MN,796,46598,0.4539,Higher Learning Commission,2
The College of Saint Scholastica,MN,1765,55103,0.7053,Higher Learning Commission,2
University of St Thomas,MN,6245,66116,0.7638,Higher Learning Commission,2
St Catherine University,MN,2473,60476,0.6125,Higher Learning Commission,2
Southwest Minnesota State University,MN,2315,24757,0.451,Higher Learning Commission,1
Winona State University,MN,5144,23683,0.5694,Higher Learning Commission,1
Alcorn State University,MS,2363,23751,0.5736,Southern Association of Colleges and Schools Commission on Colleges,1
Belhaven University,MS,1471,39793,0.4854,Southern Association of Colleges and Schools Commission on Colleges,2
Blue Mountain Christian University,MS,498,33197,0.5476,Southern Association of Colleges and Schools Commission on Colleges,2
Delta State University,MS,1620,22445,0.4806,Southern Association of Colleges and Schools Commission on Colleges,1
Jackson State University,MS,4600,32415,0.5091,Southern Association of Colleges and Schools Commission on Colleges,1
Millsaps College,MS,549,60061,0.5714,Southern Association of Colleges and Schools Commission on Colleges,2
University of Mississippi,MS,21473,28660,0.7174,Southern Association of Colleges and Schools Commission on Colleges,1
Mississippi University for Women,MS,1605,22225,0.4677,Southern Association of Colleges and Schools Commission on Colleges,1
Mississippi Valley State University,MS,1439,21154,0.2676,Southern Association of Colleges and Schools Commission on Colleges,1
Mississippi Christian University,MS,2518,41214,0.5934,Southern Association of Colleges and Schools Commission on Colleges,2
Mississippi State University,MS,18397,29267,0.6667,Southern Association of Colleges and Schools Commission on Colleges,1
Rust College,MS,467,23107,0.1179,Southern Association of Colleges and Schools Commission on Colleges,2
University of Southern Mississippi,MS,10075,26566,0.4906,Southern Association of Colleges and Schools Commission on Colleges,1
Tougaloo College,MS,639,24239,0.3311,Southern Association of Colleges and Schools Commission on Colleges,2
William Carey University,MS,2201,29651,0.5978,Southern Association of Colleges and Schools Commission on Colleges,2
Avila University,MO,1312,50096,0.5238,Higher Learning Commission,2
Mission University,MO,381,28448,0.4444,Higher Learning Commission,2
Calvary University,MO,154,23938,0.5217,Higher Learning Commission,2
Central Methodist University-College of Liberal Arts and Sciences,MO,1040,43635,0.5123,Higher Learning Commission,2
University of Central Missouri,MO,5648,22947,0.5408,Higher Learning Commission,1
Cleveland University-Kansas City,KS,95,40764,1,Higher Learning Commission,2
Columbia College,MO,4950,37207,0.4219,Higher Learning Commission,2
Conception Seminary College,MO,40,42698,0.5,Higher Learning Commission,2
Cottey College,MO,254,39269,0.5625,Higher Learning Commission,2
Culver-Stockton College,MO,807,44112,0.3916,Higher Learning Commission,2
Drury University,MO,1383,48846,0.618,Higher Learning Commission,2
Evangel University,MO,1229,39956,0.6503,Higher Learning Commission,2
Hannibal-LaGrange University,MO,410,40839,0.5039,Higher Learning Commission,2
Harris-Stowe State University,MO,960,21493,0.2756,Higher Learning Commission,1
Kansas City Art Institute,MO,812,57410,0.5797,Higher Learning Commission,2
Lincoln University,MO,1392,23704,0.2085,Higher Learning Commission,1
Lindenwood University,MO,4624,35436,0.4933,Higher Learning Commission,2
Logan University,MO,229,26928,0.2222,Higher Learning Commission,2
Maryville University of Saint Louis,MO,5658,41959,0.6622,Higher Learning Commission,2
Midwestern Baptist Theological Seminary,MO,747,29080,0.4828,Higher Learning Commission,2
Missouri Baptist University,MO,1488,49257,0.4758,Higher Learning Commission,2
Missouri Southern State University,MO,3019,19568,0.4158,Higher Learning Commission,1
Missouri Valley College,MO,1443,37899,0.2244,Higher Learning Commission,2
Missouri Western State University,MO,2219,21595,0.3854,Higher Learning Commission,1
University of Missouri-Columbia,MO,23929,31713,0.7494,Higher Learning Commission,1
University of Missouri-Kansas City,MO,6817,25320,0.5546,Higher Learning Commission,1
Missouri University of Science and Technology,MO,5521,29231,0.6437,Higher Learning Commission,1
University of Missouri-St Louis,MO,5024,31199,0.5664,Higher Learning Commission,1
Truman State University,MO,2513,25115,0.6853,Higher Learning Commission,1
Northwest Missouri State University,MO,4378,24945,0.5423,Higher Learning Commission,1
Ozark Christian College,MO,602,28485,0.6364,Higher Learning Commission,2
College of the Ozarks,MO,1444,33734,0.6369,Higher Learning Commission,2
Park University,MO,4555,29427,0.3843,Higher Learning Commission,2
Rockhurst University,MO,1580,59898,0.7456,Higher Learning Commission,2
Saint Louis University,MO,7267,71932,0.7953,Higher Learning Commission,2
