INSTNM,STABBR,UGDS,COSTT4_A,C150_4,ACCREDAGENCY,SCHTYPE
University of California-Berkeley,CA,33068,45619,0.9284,Western Association of Schools and Colleges Senior Colleges and University Commission,1
University of California-Davis,CA,32253,41238,0.8567,Western Association of Schools and Colleges Senior Colleges and University Commission,1
University of California-Irvine,CA,30197,38632,0.8687,Western Association of Schools and Colleges Senior Colleges and University Commission,1
University of California-Los Angeles,CA,33475,38614,0.9262,Western Association of Schools and Colleges Senior Colleges and University Commission,1
University of California-Riverside,CA,22593,38942,0.7596,Western Association of Schools and Colleges Senior Colleges and University Commission,1
University of California-San Diego,CA,34948,38701,0.8605,Western Association of Schools and Colleges Senior Colleges and University Commission,1
University of California-Santa Barbara,CA,23113,41573,0.8303,Western Association of Schools and Colleges Senior Colleges and University Commission,1
University of California-Santa Cruz,CA,17940,41179,0.7509,Western Association of Schools and Colleges Senior Colleges and University Commission,1
California Institute of the Arts,CA,860,77560,0.6667,Western Association of Schools and Colleges Senior Colleges and University Commission,2
Cal Poly Maritime Academy,CA,804,29853,0.5972,Western Association of Schools and Colleges Senior Colleges and University Commission,1
Chapman University,CA,7478,83146,0.8188,Western Association of Schools and Colleges Senior Colleges and University Commission,2
Charles R Drew University of Medicine and Science,CA,282,39834,0.2963,Western Association of Schools and Colleges Senior Colleges and University Commission,2
Concordia University-Irvine,CA,1536,58682,0.5831,Western Association of Schools and Colleges Senior Colleges and University Commission,2
San Diego Christian College,CA,87,31745,0.1967,Western Association of Schools and Colleges Senior Colleges and University Commission,2
Claremont McKenna College,CA,1388,86500,0.9136,Western Association of Schools and Colleges Senior Colleges and University Commission,2
University of Silicon Valley,CA,455,35722,0.2874,Western Association of Schools and Colleges Senior Colleges and University Commission,3
Design Institute of San Diego,CA,77,55911,0.8,Western Association of Schools and Colleges Senior Colleges and University Commission,3
Dominican University of California,CA,1114,71751,0.7805,Western Association of Schools and Colleges Senior Colleges and University Commission,2
Fresno Pacific University,CA,1544,44249,0.5,Western Association of Schools and Colleges Senior Colleges and University Commission,2
Harvey Mudd College,CA,921,90165,0.9188,Western Association of Schools and Colleges Senior Colleges and University Commission,2
California State Polytechnic University-Humboldt,CA,5612,25170,0.4855,Western Association of Schools and Colleges Senior Colleges and University Commission,1
Humphreys University,CA,149,20918,0.6154,Western Association of Schools and Colleges Senior Colleges and University Commission,2
Life Pacific University,CA,456,35062,0.404,Western Association of Schools and Colleges Senior Colleges and University Commission,2
University of La Verne,CA,3050,62278,0.6312,Western Association of Schools and Colleges Senior Colleges and University Commission,2
Laguna College of Art and Design,CA,746,57989,0.5172,Western Association of Schools and Colleges Senior Colleges and University Commission,2
La Sierra University,CA,1116,51459,0.5973,Western Association of Schools and Colleges Senior Colleges and University Commission,2
The Master's University and Seminary,CA,1622,54845,0.6773,Western Association of Schools and Colleges Senior Colleges and University Commission,2
Loyola Marymount University,CA,7094,83943,0.7887,Western Association of Schools and Colleges Senior Colleges and University Commission,2
Menlo College,CA,752,72020,0.535,Western Association of Schools and Colleges Senior Colleges and University Commission,2
Mount Saint Mary's University,CA,1719,66726,0.5325,Western Association of Schools and Colleges Senior Colleges and University Commission,2
National University,CA,10794,33978,0.4286,Western Association of Schools and Colleges Senior Colleges and University Commission,2
Newschool of Architecture and Design,CA,182,62004,0.619,Western Association of Schools and Colleges Senior Colleges and University Commission,3
Notre Dame de Namur University,CA,33,NA,0.067,Western Association of Schools and Colleges Senior Colleges and University Commission,2
Occidental College,CA,1877,84800,0.8088,Western Association of Schools and Colleges Senior Colleges and University Commission,2
Otis College of Art and Design,CA,1223,75861,0.663,Western Association of Schools and Colleges Senior Colleges and University Commission,2
Hope International University,CA,564,51784,0.4944,Western Association of Schools and Colleges Senior Colleges and University Commission,2
University of the Pacific,CA,3204,71515,0.6905,Western Association of Schools and Colleges Senior Colleges and University Commission,2
