SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,RBIRTH2021,RBIRTH2022,RBIRTH2023,RDEATH2021,RDEATH2022,RDEATH2023,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RNETMIG2021,RNETMIG2022,RNETMIG2023
050,4,8,08,019,Colorado,Clear Creek County,9394,9393,9457,9367,9147,-1,64,-90,-220,15,72,67,54,19,65,71,69,-4,7,-4,-15,0,3,2,2,6,60,-80,-206,6,63,-78,-204,-3,-6,-8,-1,83,83,83,83,83,7.6392572944,7.1185720357,5.8334233553,6.8965517241,7.543561411,7.4538187318,0.7427055703,-0.424989375,-1.620395376,0.3183023873,0.2124946876,0.2160527169,6.3660477454,-8.499787505,-22.25342984,6.6843501326,-8.287292818,-22.03737712
050,4,8,08,021,Colorado,Conejos County,7459,7451,7582,7587,7521,-8,131,5,-66,29,99,101,99,30,107,113,107,-1,-8,-12,-8,0,0,-1,-1,-9,142,21,-56,-9,142,20,-57,2,-3,-3,-1,57,57,57,57,57,13.171023748,13.316632606,13.105639396,14.235348899,14.898806777,14.164680964,-1.064325151,-1.582174171,-1.059041567,0,-0.131847848,-0.132380196,18.891771436,2.7688047993,-7.413290972,18.891771436,2.6369569517,-7.545671168
050,4,8,08,023,Colorado,Costilla County,3497,3502,3613,3615,3628,5,111,2,13,6,41,35,33,11,43,59,60,-5,-2,-24,-27,0,-1,0,0,10,122,27,39,10,121,27,39,0,-8,-1,1,13,13,13,13,13,11.524947294,9.6845600443,9.1122463068,12.087139845,16.325401217,16.567720558,-0.562192551,-6.640841173,-7.455474251,-0.281096275,0,0,34.293745608,7.4709463199,10.769018363,34.012649332,7.4709463199,10.769018363
050,4,8,08,025,Colorado,Crowley County,5919,5688,5735,5627,5636,-231,47,-108,9,4,30,29,29,17,65,68,67,-13,-35,-39,-38,0,-1,-1,-1,-177,87,-71,48,-177,86,-72,47,-41,-4,3,0,2881,2669,2609,2531,2612,5.2525606233,5.1047350819,5.149604901,11.380548017,11.96972364,11.897363047,-6.127987394,-6.864988558,-6.747758146,-0.175085354,-0.176025348,-0.177572583,15.232425808,-12.49779968,8.5234839741,15.057340453,-12.67382503,8.3459113913
050,4,8,08,027,Colorado,Custer County,4706,4723,5063,5337,5534,17,340,274,197,8,40,38,41,10,59,61,61,-2,-19,-23,-20,0,0,1,2,23,384,279,215,23,384,280,217,-4,-25,17,0,4,4,4,4,4,8.1749437973,7.3076923077,7.5430043234,12.058042101,11.730769231,11.222518628,-3.883098304,-4.423076923,-3.679514304,0,0.1923076923,0.3679514304,78.479460454,53.653846154,39.554778769,78.479460454,53.846153846,39.9227302
050,4,8,08,029,Colorado,Delta County,31201,31056,31392,31560,31746,-145,336,168,186,66,304,261,273,103,495,516,475,-37,-191,-255,-202,0,8,11,11,-82,532,400,378,-82,540,411,389,-26,-13,12,-1,770,569,465,518,240,9.7361004356,8.2920320244,8.6247749029,15.853189854,16.393442623,15.006476479,-6.117089418,-8.101410599,-6.381701576,0.2562131694,0.3494726141,0.3475184027,17.038175762,12.708095057,11.941996019,17.294388932,13.057567671,12.289514422
050,4,8,08,031,Colorado,Denver County,715524,717606,711467,713453,716577,2082,-6139,1986,3124,2139,8580,8332,8632,1589,5138,5433,4981,550,3442,2899,3651,49,703,1882,2150,1558,-10331,-2552,-2599,1607,-9628,-670,-449,-75,47,-243,-78,15932,15609,13955,15470,15890,12.007784067,11.694691632,12.072474004,7.1906753539,7.6256912669,6.9662874205,4.8171087131,4.0690003649,5.1061865835,0.9838545687,2.6415518064,3.0069299245,-14.45832368,-3.581955478,-3.634888779,-13.47446911,-0.940403672,-0.627958854
050,4,8,08,033,Colorado,Dolores County,2325,2331,2375,2460,2513,6,44,85,53,3,16,16,19,10,30,36,35,-7,-14,-20,-16,0,0,0,0,14,61,100,69,14,61,100,69,-1,-3,5,0,260,260,260,260,260,6.7998300042,6.6184074457,7.6412628192,12.749681258,14.891416753,14.076010456,-5.949851254,-8.273009307,-6.434747637,0,0,0,25.924351891,41.365046536,27.749849186,25.924351891,41.365046536,27.749849186
050,4,8,08,035,Colorado,Douglas County,357998,360323,369783,375937,383906,2325,9460,6154,7969,924,3529,3835,3812,525,1899,2132,1954,399,1630,1703,1858,19,248,562,660,1984,7759,3942,5465,2003,8007,4504,6125,-77,-177,-53,-14,1643,1643,1608,1626,1660,9.6670894363,10.285361798,10.033651689,5.2019843694,5.717963847,5.1431677333,4.4651050669,4.567397951,4.8904839552,0.679353409,1.5072681435,1.7372009744,21.254447984,10.572332779,14.384550493,21.933801393,12.079600923,16.121751467
050,4,8,08,037,Colorado,Eagle County,55718,55657,55774,55218,54381,-61,117,-556,-837,126,518,520,515,40,170,187,185,86,348,333,330,5,38,68,75,-149,-303,-975,-1242,-144,-265,-907,-1167,-3,34,18,0,99,99,99,100,100,9.2972332654,9.3700446879,9.3978959662,3.0512155504,3.3696122243,3.3759432112,6.246017715,6.0004324636,6.021952755,0.6820364172,1.2253135361,1.3686256261,-5.43834301,-17.56883379,-22.66444037,-4.756306593,-16.34352025,-21.29581474
050,4,8,08,039,Colorado,Elbert County,26056,26216,27159,27842,28806,160,943,683,964,50,224,263,263,39,189,219,219,11,35,44,44,0,4,1,2,162,935,629,924,162,939,630,926,-13,-31,9,-6,64,64,65,63,65,8.393442623,9.5634624825,9.285411665,7.0819672131,7.9634915729,7.7319587629,1.3114754098,1.5999709096,1.5534529021,0.149882904,0.0363629752,0.0706114956,35.035128806,22.872311413,32.622510945,35.18501171,22.908674388,32.69312244
050,4,8,08,041,Colorado,El Paso County,730405,732384,737287,740596,744215,1979,4903,3309,3619,2203,9301,9193,9147,1331,5877,6161,5702,872,3424,3032,3445,-13,53,538,777,974,911,9,-619,961,964,547,158,146,515,-270,16,20495,20482,18304,19642,19524,12.657254583,12.440768315,12.320760016,7.9977083306,8.3376018264,7.6804387899,4.6595462522,4.1031664888,4.6403212261,0.0721249858,0.7280684601,1.0465978498,1.2397332464,0.0121795839,-0.833776151,1.3118582322,0.740248044,0.2128216992
050,4,8,08,043,Colorado,Fremont County,48934,48878,49237,49616,50318,-56,359,379,702,98,383,366,351,147,680,743,676,-49,-297,-377,-325,0,7,1,6,-12,653,703,1014,-12,660,704,1020,5,-4,52,7,8016,7868,7568,8013,8740,7.8071650614,7.4049345999,7.0246362599,13.861285227,15.032421879,13.528929093,-6.054120165,-7.627487279,-6.504292833,0.1426897009,0.0202320617,0.1200792523,13.310910666,14.223139409,20.29339364,13.453600367,14.243371471,20.413472892
050,4,8,08,045,Colorado,Garfield County,61686,61794,62107,62256,62707,108,313,149,451,180,732,717,714,84,431,438,412,96,301,279,302,3,47,148,155,-12,-73,-249,-6,-9,-26,-101,149,21,38,-29,0,1068,1052,915,1032,1037,11.815885263,11.530760757,11.427382505,6.9571674159,7.0438956924,6.5939518097,4.8587178473,4.4868650644,4.8334306955,0.7586702287,2.3801291381,2.4807342974,-1.178360142,-4.004406455,-0.096028424,-0.419689914,-1.624277317,2.3847058729
050,4,8,08,047,Colorado,Gilpin County,5806,5820,5893,5886,5926,14,73,-7,40,17,35,45,48,9,34,41,41,8,1,4,7,1,8,25,28,6,65,-32,5,7,73,-7,33,-1,-1,-4,0,42,42,42,42,42,5.9762656877,7.6407165294,8.1273281409,5.8055152395,6.9615417268,6.942092787,0.1707504482,0.6791748026,1.1852353539,1.3660035858,4.2448425163,4.7409414155,11.098779134,-5.433398421,0.8465966813,12.46478272,-1.188555905,5.5875380969
050,4,8,08,049,Colorado,Grand County,15715,15747,15851,15734,15935,32,104,-117,201,39,113,118,121,13,100,108,103,26,13,10,18,0,9,27,29,7,83,-146,152,7,92,-119,181,-1,-1,-8,2,212,212,213,213,213,7.1523514146,7.4719012189,7.6415422022,6.3295145262,6.8386892512,6.504783858,0.8228368884,0.6332119677,1.1367583441,0.5696563074,1.7096723128,1.8314439989,5.2534970568,-9.244894729,9.5992926837,5.8231533641,-7.535222416,11.430736683
050,4,8,08,051,Colorado,Gunnison County,16921,16950,17294,17320,17321,29,344,26,1,30,132,137,134,26,79,89,85,4,53,48,49,0,1,4,6,24,300,-18,-53,24,301,-14,-47,1,-10,-8,-1,1023,1021,998,1059,1037,7.7093797454,7.9158721904,7.7364972143,4.6139469688,5.1424279193,4.9074795762,3.0954327765,2.7734442711,2.8290176381,0.058404392,0.2311203559,0.346410323,17.521317603,-1.040041602,-3.059957853,17.579721995,-0.808921246,-2.71354753
050,4,8,08,053,Colorado,Hinsdale County,784,788,773,771,765,4,-15,-2,-6,0,2,2,4,2,5,8,5,-2,-3,-6,-1,0,0,0,0,7,-11,3,-5,7,-11,3,-5,-1,-1,1,0,0,0,0,0,0,2.5624599616,2.5906735751,5.2083333333,6.4061499039,10.362694301,6.5104166667,-3.843689942,-7.772020725,-1.302083333,0,0,0,-14.09352979,3.8860103627,-6.510416667,-14.09352979,3.8860103627,-6.510416667
050,4,8,08,055,Colorado,Huerfano County,6817,6827,6934,7097,7055,10,107,163,-42,16,42,44,40,28,134,140,135,-12,-92,-96,-95,0,-1,-1,-1,25,211,244,53,25,210,243,52,-3,-11,16,1,120,120,120,120,120,6.1042075431,6.2718266695,5.6529112493,19.475328828,19.95581213,19.078575466,-13.37112128,-13.68398546,-13.42566422,-0.145338275,-0.142541515,-0.141322781,30.66637599,34.780129713,7.4901074053,30.521037715,34.637588198,7.3487846241
050,4,8,08,057,Colorado,Jackson County,1381,1379,1359,1314,1309,-2,-20,-45,-5,3,6,11,6,3,16,12,13,0,-10,-1,-7,0,0,0,0,-2,-9,-46,2,-2,-9,-46,2,0,-1,2,0,1,1,1,1,1,4.3827611395,8.2304526749,4.5749142204,11.687363039,8.9786756453,9.9123141441,-7.304601899,-0.74822297,-5.337399924,0,0,0,-6.574141709,-34.41825664,1.5249714068,-6.574141709,-34.41825664,1.5249714068
050,4,8,08,059,Colorado,Jefferson County,582886,583081,580703,575811,576366,195,-2378,-4892,555,1460,5396,5474,5493,1336,5402,5617,4997,124,-6,-143,496,11,225,580,662,-75,-2960,-5000,-584,-64,-2735,-4420,78,135,363,-329,-19,8797,8689,9147,9467,9341,9.2731984629,9.4663791359,9.5349933213,9.2835096547,9.7136740238,8.674014496,-0.010311192,-0.247294888,0.8609788253,0.3866696913,1.0030142307,1.1491289967,-5.086854605,-8.646674403,-1.013733133,-4.700184914,-7.643660172,0.1353958637
050,4,8,08,061,Colorado,Kiowa County,1448,1455,1454,1434,1384,7,-1,-20,-50,0,19,18,20,3,20,21,21,-3,-1,-3,-1,0,0,1,1,8,0,-18,-50,8,0,-17,-49,2,0,0,0,31,31,31,31,31,13.062908216,12.465373961,14.194464159,13.750429701,14.542936288,14.904187367,-0.687521485,-2.077562327,-0.709723208,0,0.6925207756,0.7097232079,0,-12.46537396,-35.4861604,0,-11.77285319,-34.77643719
050,4,8,08,063,Colorado,Kit Carson County,7081,7062,6927,6983,6994,-19,-135,56,11,20,82,96,93,26,95,99,95,-6,-13,-3,-2,0,0,30,31,-13,-119,33,-17,-13,-119,63,14,0,-3,-4,-1,91,91,89,91,91,11.723497033,13.80301941,13.307576733,13.582100222,14.234363767,13.593761179,-1.858603188,-0.431344357,-0.286184446,0,4.3134435658,4.4358589111,-17.01336765,4.7447879224,-2.43256779,-17.01336765,9.0582314881,2.0032911211
050,4,8,08,065,Colorado,Lake County,7432,7408,7395,7346,7365,-24,-13,-49,19,15,71,85,85,8,51,45,46,7,20,40,39,0,1,12,12,-30,-38,-97,-31,-30,-37,-85,-19,-1,4,-4,-1,103,103,103,112,120,9.5926501385,11.532460484,11.555978519,6.8904951699,6.1054202564,6.2538236694,2.7021549686,5.4270402279,5.3021548501,0.1351077484,1.6281120684,1.6314322616,-5.13409444,-13.16057255,-4.214533342,-4.998986692,-11.53246048,-2.583101081
050,4,8,08,067,Colorado,La Plata County,55637,55673,56169,56553,56407,36,496,384,-146,119,435,426,414,103,442,462,455,16,-7,-36,-41,0,10,27,29,1,482,371,-134,1,492,398,-105,19,11,22,0,1743,1735,1573,1879,1884,7.7788308507,7.558418055,7.3300283286,7.9040074391,8.197157609,8.0559490085,-0.125176588,-0.638739554,-0.72592068,0.1788236977,0.4790546655,0.5134560907,8.6193022299,6.5825659587,-2.372521246,8.7981259276,7.0616206242,-1.859065156
050,4,8,08,069,Colorado,Larimer County,359074,359923,362747,367577,370771,849,2824,4830,3194,790,3039,3111,3094,652,2753,2968,2638,138,286,143,456,3,180,400,471,656,2202,4148,2249,659,2382,4548,2720,52,156,139,18,11706,11682,11266,12156,12321,8.4104778114,8.5195064109,8.3808718924,7.6189685472,8.1278993981,7.1456819819,0.7915092643,0.3916070128,1.2351899104,0.4981526838,1.0954042315,1.2758211575,6.0940678318,11.359341881,6.0919783083,6.5922205156,12.454746113,7.3677994658
050,4,8,08,071,Colorado,Las Animas County,14559,14490,14334,14311,14348,-69,-156,-23,37,30,130,113,111,56,207,248,243,-26,-77,-135,-132,0,4,17,19,-36,-84,91,147,-36,-80,108,166,-7,1,4,3,714,633,400,399,486,9.0202608937,7.8896840635,7.7462577201,14.363030808,17.315412812,16.958023657,-5.342769914,-9.425728748,-9.211765937,0.277546489,1.1869436202,1.3259360061,-5.82847627,6.3536393786,10.258557521,-5.550929781,7.5405829988,11.584493527
