SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,NPOPCHG2023,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,GQESTIMATES2023,RBIRTH2021,RBIRTH2022,RBIRTH2023,RDEATH2021,RDEATH2022,RDEATH2023,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RNETMIG2021,RNETMIG2022,RNETMIG2023
050,2,4,46,023,South Dakota,Charles Mix County,9382,9368,9184,9232,9240,-14,-184,48,8,29,142,144,143,32,136,100,93,-3,6,44,50,0,2,3,3,-11,-188,7,-47,-11,-186,10,-44,0,-4,-6,2,754,754,754,754,754,15.308322553,15.638575152,15.482893027,14.661492022,10.860121633,10.069294067,0.6468305304,4.7784535187,5.4135989606,0.2156101768,0.325803649,0.3248159376,-20.26735662,0.7602085143,-5.088783023,-20.05174644,1.0860121633,-4.763967085
050,2,4,46,025,South Dakota,Clark County,3841,3853,3873,3923,3948,12,20,50,25,17,62,62,59,14,37,42,35,3,25,20,24,0,1,4,23,7,-6,27,-22,7,-5,31,1,2,0,-1,0,198,198,198,198,198,16.049702304,15.905592612,14.991741837,9.5780481491,10.774756285,8.8934061746,6.4716541548,5.1308363263,6.0983356626,0.2588661662,1.0261672653,5.8442383433,-1.553196997,6.9266290405,-5.590141024,-1.294330831,7.9527963058,0.2540973193
050,2,4,46,027,South Dakota,Clay County,14967,15000,15165,15301,15431,33,165,136,130,25,134,131,137,20,111,114,113,5,23,17,24,0,19,61,23,23,115,61,83,23,134,122,106,5,8,-3,0,2531,2530,2516,2539,2541,8.8844687552,8.5997505416,8.9157881036,7.3595226256,7.4837523797,7.3538982168,1.5249461296,1.1159981619,1.5618898868,1.2597381071,4.0044639926,1.4968111415,7.6247306481,4.0044639926,5.4015358584,8.8844687552,8.0089279853,6.8983469999
050,2,4,46,029,South Dakota,Codington County,28321,28351,28484,28736,28971,30,133,252,235,79,299,325,326,62,330,284,268,17,-31,41,58,3,20,19,41,3,129,197,136,6,149,216,177,7,15,-5,0,498,498,498,498,498,10.521685581,11.359664453,11.298455993,11.612562681,9.9265990912,9.2883012459,-1.0908771,1.4330653618,2.0101547473,0.7037916777,0.6641034603,1.4209714593,4.5394563209,6.8857042992,4.7134663039,5.2432479986,7.5498077595,6.1344377632
050,2,4,46,031,South Dakota,Corson County,3903,3895,3849,3817,3782,-8,-46,-32,-35,17,85,74,78,10,72,64,68,7,13,10,10,0,0,0,0,-16,-59,-40,-45,-16,-59,-40,-45,1,0,-2,0,7,7,7,7,7,21.952479339,19.306026611,20.529016976,18.595041322,16.697104096,17.897091723,3.3574380165,2.608922515,2.6319252533,0,0,0,-15.23760331,-10.43569006,-11.84366364,-15.23760331,-10.43569006,-11.84366364
050,2,4,46,033,South Dakota,Custer County,8320,8335,8639,9021,9117,15,304,382,96,19,68,76,77,31,99,97,92,-12,-31,-21,-15,0,3,10,4,32,350,368,107,32,353,378,111,-5,-18,25,0,90,90,90,90,90,8.0122540356,8.6070215176,8.4904620135,11.664899258,10.985277463,10.14444812,-3.652645222,-2.378255946,-1.653986107,0.3534817957,1.1325028313,0.4410629617,41.23954283,41.67610419,11.798434226,41.593024626,42.808607022,12.239497188
050,2,4,46,035,South Dakota,Davison County,19953,19956,19899,19907,19922,3,-57,8,15,63,237,228,229,37,266,242,230,26,-29,-14,-1,0,6,11,79,-20,-42,22,-63,-20,-36,33,16,-3,8,-11,0,518,518,518,518,518,11.893112533,11.455559463,11.499158904,13.348387906,12.158971009,11.549373572,-1.455275373,-0.703411546,-0.050214668,0.3010914565,0.5526805004,3.9669587487,-2.107640196,1.1053610009,-3.163524065,-1.806548739,1.6580415013,0.8034346833
050,2,4,46,037,South Dakota,Day County,5453,5444,5426,5475,5451,-9,-18,49,-24,16,36,45,46,13,95,80,77,3,-59,-35,-31,0,4,11,7,-11,34,74,-1,-11,38,85,6,-1,3,-1,1,101,101,101,101,101,6.6237350506,8.2561232914,8.4202818964,17.479300828,14.677552518,14.094819696,-10.85556578,-6.421429227,-5.6745378,0.7359705612,2.0181634712,1.2813472451,6.25574977,13.576736079,-0.183049606,6.9917203312,15.59489955,1.0982976387
050,2,4,46,039,South Dakota,Deuel County,4294,4295,4290,4361,4354,1,-5,71,-7,9,59,56,56,8,46,47,47,1,13,9,9,0,0,0,0,0,-19,62,-15,0,-19,62,-15,0,1,0,-1,52,52,52,52,52,13.744903902,12.946480176,12.851405622,10.716365754,10.865795862,10.786001147,3.0285381479,2.080684314,2.065404475,0,0,0,-4.426324985,14.333603052,-3.442340792,-4.426324985,14.333603052,-3.442340792
050,2,4,46,041,South Dakota,Dewey County,5243,5225,5223,5142,5208,-18,-2,-81,66,29,115,109,108,19,97,97,102,10,18,12,6,0,0,3,1,-27,-23,-99,61,-27,-23,-96,62,-1,3,3,-2,5,5,5,5,5,22.013782542,21.032320309,20.869565217,18.568147014,18.716835504,19.710144928,3.4456355283,2.3154848046,1.1594202899,0,0.5788712012,0.193236715,-4.402756508,-19.10274964,11.787439614,-4.402756508,-18.52387844,11.980676329
