year,period,periodName,Unemployment_Rate,Location,real_date
2024,M04,April,3.9,Michigan,2024-04-01T05:00:00Z
2020,M04,April,22.5,Michigan,2020-04-01T05:00:00Z
2024,M04,April,2.9,Minnesota,2024-04-01T05:00:00Z
2020,M04,April,8.6,Minnesota,2020-04-01T05:00:00Z
2024,M04,April,2,Mississippi,2024-04-01T05:00:00Z
2020,M04,April,14.8,Mississippi,2020-04-01T05:00:00Z
2024,M04,April,3.3,Missouri,2024-04-01T05:00:00Z
2020,M04,April,10.9,Missouri,2020-04-01T05:00:00Z
2024,M04,April,2.9,Montana,2024-04-01T05:00:00Z
2020,M04,April,11.8,Montana,2020-04-01T05:00:00Z
2024,M04,April,2.4,Nebraska,2024-04-01T05:00:00Z
2020,M04,April,8,Nebraska,2020-04-01T05:00:00Z
2024,M04,April,5.1,Nevada,2024-04-01T05:00:00Z
2020,M04,April,30.1,Nevada,2020-04-01T05:00:00Z
2024,M04,April,2.2,New Hampshire,2024-04-01T05:00:00Z
2020,M04,April,15.8,New Hampshire,2020-04-01T05:00:00Z
2024,M04,April,4.1,New Jersey,2024-04-01T05:00:00Z
2020,M04,April,14.4,New Jersey,2020-04-01T05:00:00Z
2024,M04,April,3.5,New Mexico,2024-04-01T05:00:00Z
2020,M04,April,8.4,New Mexico,2020-04-01T05:00:00Z
2024,M04,April,3.8,New York,2024-04-01T05:00:00Z
2020,M04,April,15.2,New York,2020-04-01T05:00:00Z
2024,M04,April,3.2,North Carolina,2024-04-01T05:00:00Z
2020,M04,April,13.8,North Carolina,2020-04-01T05:00:00Z
2024,M04,April,2.3,North Dakota,2024-04-01T05:00:00Z
2020,M04,April,8.4,North Dakota,2020-04-01T05:00:00Z
2024,M04,April,4,Ohio,2024-04-01T05:00:00Z
2020,M04,April,15.9,Ohio,2020-04-01T05:00:00Z
2024,M04,April,2.7,Oklahoma,2024-04-01T05:00:00Z
2020,M04,April,12.1,Oklahoma,2020-04-01T05:00:00Z
2024,M04,April,3.7,Oregon,2024-04-01T05:00:00Z
2020,M04,April,13.3,Oregon,2020-04-01T05:00:00Z
2024,M04,April,3.2,Pennsylvania,2024-04-01T05:00:00Z
2020,M04,April,15.1,Pennsylvania,2020-04-01T05:00:00Z
2024,M04,April,3.6,Rhode Island,2024-04-01T05:00:00Z
2020,M04,April,17.5,Rhode Island,2020-04-01T05:00:00Z
2024,M04,April,3.2,South Carolina,2024-04-01T05:00:00Z
2020,M04,April,11,South Carolina,2020-04-01T05:00:00Z
2024,M04,April,1.7,South Dakota,2024-04-01T05:00:00Z
2020,M04,April,8.8,South Dakota,2020-04-01T05:00:00Z
2024,M04,April,2.8,Tennessee,2024-04-01T05:00:00Z
2020,M04,April,15,Tennessee,2020-04-01T05:00:00Z
2024,M04,April,3.6,Texas,2024-04-01T05:00:00Z
2020,M04,April,12.3,Texas,2020-04-01T05:00:00Z
2024,M04,April,3,Utah,2024-04-01T05:00:00Z
2020,M04,April,9.8,Utah,2020-04-01T05:00:00Z
2024,M04,April,2.3,Vermont,2024-04-01T05:00:00Z
2020,M04,April,14,Vermont,2020-04-01T05:00:00Z
2024,M04,April,2.5,Virginia,2024-04-01T05:00:00Z
2020,M04,April,11,Virginia,2020-04-01T05:00:00Z
2024,M04,April,4.1,Washington,2024-04-01T05:00:00Z
2020,M04,April,16.5,Washington,2020-04-01T05:00:00Z
2024,M04,April,3.8,West Virginia,2024-04-01T05:00:00Z
2020,M04,April,15.6,West Virginia,2020-04-01T05:00:00Z
2024,M04,April,3,Wisconsin,2024-04-01T05:00:00Z
2020,M04,April,14,Wisconsin,2020-04-01T05:00:00Z
2024,M04,April,3,Wyoming,2024-04-01T05:00:00Z
2020,M04,April,4.9,Wyoming,2020-04-01T05:00:00Z
2024,M04,April,2.4,Nebraska,2024-04-01T05:00:00Z
2020,M04,April,8,Nebraska,2020-04-01T05:00:00Z
2024,M04,April,5.1,Nevada,2024-04-01T05:00:00Z
2020,M04,April,30.1,Nevada,2020-04-01T05:00:00Z
2024,M04,April,2.2,New Hampshire,2024-04-01T05:00:00Z
2020,M04,April,15.8,New Hampshire,2020-04-01T05:00:00Z
2024,M04,April,4.1,New Jersey,2024-04-01T05:00:00Z
2020,M04,April,14.4,New Jersey,2020-04-01T05:00:00Z
2024,M04,April,3.5,New Mexico,2024-04-01T05:00:00Z
2020,M04,April,8.4,New Mexico,2020-04-01T05:00:00Z
2024,M04,April,3.8,New York,2024-04-01T05:00:00Z
2020,M04,April,15.2,New York,2020-04-01T05:00:00Z
2024,M04,April,3.2,North Carolina,2024-04-01T05:00:00Z
2020,M04,April,13.8,North Carolina,2020-04-01T05:00:00Z
2024,M04,April,2.3,North Dakota,2024-04-01T05:00:00Z
2020,M04,April,8.4,North Dakota,2020-04-01T05:00:00Z
2024,M04,April,4,Ohio,2024-04-01T05:00:00Z
2020,M04,April,15.9,Ohio,2020-04-01T05:00:00Z
2024,M04,April,2.7,Oklahoma,2024-04-01T05:00:00Z
2020,M04,April,12.1,Oklahoma,2020-04-01T05:00:00Z
2024,M04,April,3.7,Oregon,2024-04-01T05:00:00Z
2020,M04,April,13.3,Oregon,2020-04-01T05:00:00Z
2024,M04,April,3.2,Pennsylvania,2024-04-01T05:00:00Z
2020,M04,April,15.1,Pennsylvania,2020-04-01T05:00:00Z
2024,M04,April,3.6,Rhode Island,2024-04-01T05:00:00Z
