year,period,periodName,Unemployment_Rate,Location
2026,M06,June,4.2,Mississippi
2026,M05,May,3.5,Mississippi
2026,M04,April,3.2,Mississippi
2026,M03,March,3.8,Mississippi
2026,M02,February,4.2,Mississippi
2026,M01,January,3.7,Mississippi
2025,M12,December,3.1,Mississippi
2025,M11,November,3.6,Mississippi
2025,M10,October,NA,Mississippi
2025,M09,September,3.6,Mississippi
2025,M08,August,4.1,Mississippi
2025,M07,July,4.4,Mississippi
2025,M06,June,4.5,Mississippi
2025,M05,May,3.7,Mississippi
2025,M04,April,3.3,Mississippi
2025,M03,March,3.8,Mississippi
2025,M02,February,4,Mississippi
2025,M01,January,3.9,Mississippi
2024,M12,December,3.5,Mississippi
2024,M11,November,3.4,Mississippi
2024,M10,October,3.3,Mississippi
2024,M09,September,3.3,Mississippi
2024,M08,August,3.6,Mississippi
2024,M07,July,3.8,Mississippi
2024,M06,June,3.9,Mississippi
2024,M05,May,2.9,Mississippi
2024,M04,April,2,Mississippi
2024,M03,March,2.5,Mississippi
2024,M02,February,2.8,Mississippi
2024,M01,January,3.1,Mississippi
2023,M12,December,2.5,Mississippi
2023,M11,November,2.5,Mississippi
2023,M10,October,2.7,Mississippi
2023,M09,September,2.9,Mississippi
2023,M08,August,3.6,Mississippi
2023,M07,July,3.8,Mississippi
2023,M06,June,4,Mississippi
2023,M05,May,3,Mississippi
2023,M04,April,2.6,Mississippi
2023,M03,March,3.1,Mississippi
2023,M02,February,3.3,Mississippi
2023,M01,January,3.5,Mississippi
2022,M12,December,3.1,Mississippi
2022,M11,November,3.3,Mississippi
2022,M10,October,3.4,Mississippi
2022,M09,September,3.6,Mississippi
2022,M08,August,4,Mississippi
2022,M07,July,4.4,Mississippi
2022,M06,June,4.6,Mississippi
2022,M05,May,3.6,Mississippi
2022,M04,April,3.3,Mississippi
2022,M03,March,3.4,Mississippi
2022,M02,February,4.1,Mississippi
2022,M01,January,4.5,Mississippi
2021,M12,December,3.5,Mississippi
2021,M11,November,3.6,Mississippi
2021,M10,October,4.1,Mississippi
2021,M09,September,4.6,Mississippi
2021,M08,August,5.5,Mississippi
2021,M07,July,6.2,Mississippi
2021,M06,June,6.8,Mississippi
2021,M05,May,5.8,Mississippi
2021,M04,April,5.6,Mississippi
2021,M03,March,6.1,Mississippi
2021,M02,February,6.4,Mississippi
2021,M01,January,6.6,Mississippi
2020,M12,December,6.2,Mississippi
2020,M11,November,6.1,Mississippi
2020,M10,October,6.2,Mississippi
2020,M09,September,7.1,Mississippi
2020,M08,August,7.3,Mississippi
2020,M07,July,9.2,Mississippi
2020,M06,June,10.2,Mississippi
2020,M05,May,11.5,Mississippi
2020,M04,April,14.8,Mississippi
2020,M03,March,6.7,Mississippi
2020,M02,February,5.2,Mississippi
2020,M01,January,5.5,Mississippi
2019,M12,December,5,Mississippi
2019,M11,November,5.1,Mississippi
2019,M10,October,5,Mississippi
2019,M09,September,5.4,Mississippi
2019,M08,August,5.9,Mississippi
2019,M07,July,6.6,Mississippi
2019,M06,June,6.6,Mississippi
2019,M05,May,5.1,Mississippi
2019,M04,April,4.8,Mississippi
2019,M03,March,5.2,Mississippi
2019,M02,February,5.3,Mississippi
2019,M01,January,5.7,Mississippi
