NtsbNo,EventType,EventDate,City,State,Country,N,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,Latitude,Longitude,Make,Model,Operator
ERA21LA177,ACC,2021-04-06T15:00:00Z,Worcester,Massachusetts,United States,N61EF,None,0,0,0,42.271398,-71.875819,FORISCH EDWARD,BUSHBY MUSTANG M II,NA
ERA21LA176,ACC,2021-04-06T14:00:00Z,Fayetteville,North Carolina,United States,N5424R,None,0,0,0,34.893692,-78.843531,CESSNA,172F,CAPE FEAR AVIATION MAINTENANCE LLC
ERA21LA180,ACC,2021-04-06T13:20:00Z,Orangeburg,South Carolina,United States,N22467,None,0,0,0,33.456918,-80.859407,CESSNA,172S,EAGLE AVIATION INC
ERA21LA174,ACC,2021-04-06T11:30:00Z,Arcadia,Florida,United States,N18394,Serious,0,1,0,27.176616,-81.826713,BEECH,A36,NA
CEN21LA181,ACC,2021-04-05T19:39:00Z,Seminole,Texas,United States,N565PK,Fatal,1,0,0,32.73507,-102.80049,EVOLUTION AIRCRAFT INC,REVOLT,NA
CEN21LA184,ACC,2021-04-05T17:00:00Z,Johnson,Kansas,United States,N8348X,None,0,0,0,37.667167,-101.988,ROBINSON HELICOPTER,R44,SEGER ROBERT E
CEN21LA183,ACC,2021-04-05T16:00:00Z,Jewett,Texas,United States,N811SG,Minor,0,0,1,31.3616,-96.1441,MAULE,MT7,NA
ERA21LA173,ACC,2021-04-05T09:50:00Z,Springfield,Tennessee,United States,N5018Y,Serious,0,2,0,36.536694,-86.921167,PIPER,PA-23-250,HIGHLAND RIM AVIATION LLC
CEN21LA179,ACC,2021-04-04T18:30:00Z,Saint Paul,Nebraska,United States,UNREG,Serious,0,1,1,41.215725,-98.405249,Destiny Powered Parachutes,2000,NA
ERA21LA172,ACC,2021-04-04T16:30:00Z,McBee,South Carolina,United States,UNREG,Minor,0,0,1,34.403251,-80.268531,Phantom Aeronautics,Phantom II,NA
CEN21FA177,ACC,2021-04-03T17:35:00Z,Conifer,Colorado,United States,N434MA,Fatal,1,0,0,39.26315,-105.37451,MAGNUS AIRCRAFT LLC,FUSION 212,NA
ERA21LA171,ACC,2021-04-03T16:30:00Z,Palmyra,Pennsylvania,United States,N577DD,Serious,0,1,0,40.286767,-76.576988,ROBINSON HELICOPTER CO,R66,NA
WPR21LA164,ACC,2021-04-03T13:15:00Z,Fairbanks,Alaska,United States,N215MC,None,0,0,0,64.815111,-147.85644,CESSNA,208B,TATONDUK OUTFITTERS LTD DBA
ERA21LA170,ACC,2021-04-03T12:48:00Z,College Park,Maryland,United States,N2953L,None,0,0,0,38.982155,-76.924116,MOONEY,M20C,NA
WPR21LA153,ACC,2021-04-03T11:22:00Z,Sand Point,Idaho,United States,N7616X,Minor,0,0,1,48.299528,-116.56013,CESSNA,172,NA
