NtsbNo,EventType,EventDate,City,State,Country,N,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,Latitude,Longitude,Make,Model,Operator
ANC24FA092,ACC,2024-09-14T09:30:00Z,Wasilla,Alaska,United States,N1202Y,Fatal,1,0,0,0,0,JON BERGSTEDT,JP FLYER,NA
DCA24FA300,INC,2024-09-12T04:00:00Z,Nashville,Tennessee,United States,"N919AK, N225WN",None,0,0,0,0,0,"BOEING, BOEING","737-9, 737-7H4","ALASKA AIRLINES INC,SOUTHWEST AIRLINES CO"
CEN24LA352,ACC,2024-09-11T16:00:00Z,Clarksdale,Mississippi,United States,N91ZS,None,0,0,0,34.296884,-90.511017,Just Aircraft,Highlander,NA
CEN24LA351,ACC,2024-09-11T10:46:00Z,Schaumburg,Illinois,United States,N1429T,None,0,0,0,0,0,PIPER,PA-28-140,NA
CEN24LA350,ACC,2024-09-11T09:40:00Z,Meridian,Colorado,United States,N20747,Minor,0,0,2,0,0,CESSNA,172,ATP Flight School
ERA24LA378,ACC,2024-09-10T16:12:00Z,Stratford,Connecticut,United States,N371WB,None,0,0,0,41.163481,-73.126176,BRANDT STIRLING D,WAIEX-B,NA
CEN24FA346,ACC,2024-09-10T13:45:00Z,Sulphur Springs,Indiana,United States,N966DP,NA,0,0,0,0,0,SONEX AIRCRAFT,SONEX,NA
CEN24LA348,ACC,2024-09-10T11:00:00Z,Amarillo,Texas,United States,N6931T,NA,0,0,0,0,0,BEECH,A36,NA
ERA24LA375,ACC,2024-09-10T09:43:00Z,Hickory Valley,Tennessee,United States,N802JF,None,0,0,0,0,0,AIR TRACTOR INC,AT-802,MILES FLYING SERVICE INC
CEN24LA344,ACC,2024-09-08T15:33:00Z,Rifle,Colorado,United States,N36008,Serious,0,1,0,0,0,BELLANCA,7GCAA,NA
CEN24LA341,ACC,2024-09-07T10:30:00Z,Trojan,South Dakota,United States,N95078,None,0,0,0,0,0,TAYLORCRAFT,BC12-D,NA
ANC24FA089,ACC,2024-09-07T09:24:00Z,King Salmon,Alaska,United States,N306FW,Fatal,1,0,4,58.658754,-156.6469,BELL,206B,EGLI AIR HAUL INC
WPR24FA298,ACC,2024-09-06T12:59:00Z,Yacolt,Washington,United States,N53466,Fatal,1,1,0,0,0,BOEING,A75L3,NA
WPR24FA295,ACC,2024-09-06T12:36:00Z,Hawthorne,California,United States,N588CP,NA,0,0,0,0,0,PIPER,PA-24-250,NA
CEN24LA343,ACC,2024-09-06T10:56:00Z,Grand Forks,North Dakota,United States,N896J,NA,0,0,0,47.947278,-97.173778,ROBINSON HELICOPTER,R44,UNIVERSITY OF NORTH DAKOTA
WPR24LA302,ACC,2024-09-06T10:52:00Z,pendelton,Oregon,United States,N213PA,NA,0,0,0,0,0,AMAZON.COM SERVICES LLC,MK30,AMAZON.COM SERVICES LLC
CEN24FA340,ACC,2024-09-06T09:48:00Z,Anderson,Indiana,United States,N629AG,Fatal,4,0,0,0,0,PIPER AIRCRAFT INC,PA 46-350P,OKOBOJI AIR LLC
CEN24FA338,ACC,2024-09-05T10:14:00Z,Camden,Colorado,United States,N602BA,Fatal,1,0,0,0,0,AIR TRACTOR INC,AT-602,SCOTT KYLE J DBA
CEN24LA342,ACC,2024-09-04T19:49:00Z,Crystal,Minnesota,United States,N4081S,None,0,0,0,45.058762,-93.349898,PIPER,PA-28R,NA
ERA24FA365,ACC,2024-09-04T11:21:00Z,Rockmart,Georgia,United States,N9659L,Fatal,2,0,0,33.93,-85.04139,GRUMMAN AMERICAN AVN. CORP.,AA-5,Flying Tigers Flight School
ANC24LA090,ACC,2024-09-04T10:00:00Z,Denali,Alaska,United States,N424rd,None,0,0,0,0,0,PIPER,PA-18A 150,NA
CEN24LA332,ACC,2024-09-02T12:15:00Z,Columbus,Nebraska,United States,N223CL,Fatal,1,0,0,41.159,-97.6385,APEX,CROSS-5X,NA
WPR24LA293,ACC,2024-09-02T10:30:00Z,Amboy,California,United States,N66948,NA,0,0,0,0,0,CESSNA,152,NA
CEN24LA333,ACC,2024-09-02T09:14:00Z,Odessa,Missouri,United States,N624RJ,Minor,0,0,2,38.996962,-93.954975,Zenith Aircraft Company,Zodiac CH601 XL,Pilot
CEN24LA331,ACC,2024-09-01T16:20:00Z,Kingman,Kansas,United States,N133LB,None,0,0,0,37.669016,-98.123892,LET,L 33 SOLO,NA
CEN24LA334,ACC,2024-09-01T13:10:00Z,Shell Knob,Missouri,United States,N30853,NA,0,0,0,36.622378,-93.539942,CESSNA,177B,QUAD CITY AREA FLYING EAGLES INC
WPR24LA301,ACC,2024-09-01T11:30:00Z,Port Angeles,Washington,United States,N954RD,NA,0,0,0,48.120194,-123.49969,THOMPSON RYAN L,THOMPSON CRAFT,NA
WPR24FA291,ACC,2024-09-01T11:02:00Z,Meeteetse,Wyoming,United States,N23BD,Fatal,1,1,0,0,0,AMERICAN CHAMPION AIRCRAFT,8GCBC,NA
WPR24LA297,ACC,2024-09-01T08:00:00Z,Saint Johns,Arizona,United States,N116MJ,None,0,0,0,34.518785,-109.37754,FLIGHT DESIGN GMBH,CTLS,NA
CEN24LA336,ACC,2024-08-31T18:21:00Z,Marne,Michigan,United States,N9020X,NA,0,0,0,0,0,CESSNA,182D,NA
WPR24FA290,ACC,2024-08-31T15:50:00Z,Novato,California,United States,N2912T,Fatal,1,0,0,0,0,AERO COMMANDER,200D,KRAHLING JEFFREY B
WPR24LA300,ACC,2024-08-31T14:30:00Z,Mulino,Oregon,United States,N902ST,None,0,0,0,45.216556,-122.59019,PACIFIC AEROSPACE CORP LTD,750XL,TRUE NORTH AVIATION LLC
ANC24LA087,ACC,2024-08-31T12:40:00Z,Lime Village,Alaska,United States,N1217E,None,0,0,0,61.599698,-154.47973,BELLANCA,8GCBC,NA
CEN24LA335,ACC,2024-08-31T11:30:00Z,Lawrence,Kansas,United States,N29411,NA,0,0,0,39.01111,-95.216472,CESSNA,177,NA
ANC24FA085,ACC,2024-08-31T10:00:00Z,McGrath,Alaska,United States,N7154Z,NA,0,0,0,62.008135,-154.80312,PIPER,PA-18-150,Cary L Foster
DCA24LA295,ACC,2024-08-31T04:00:00Z,Atlanta,Georgia,United States,"N808NW, G-VPRD",NA,0,0,0,0,0,"AIRBUS, AIRBUS","A330-323, A350","DELTA AIR LINES INC,Virgin Atlantic Airlines"
ANC24LA086,ACC,2024-08-30T16:18:00Z,Tok,Alaska,United States,N41WP,Serious,0,2,0,62.792369,-144.29318,CESSNA,150H,MONTGOMERY RYAN K
WPR24LA294,ACC,2024-08-30T13:30:00Z,Bend,Oregon,United States,N71899,None,0,0,0,44.094561,-121.20022,SILVAIRE,LUSCOMBE 8A,NA
WPR24LA303,ACC,2024-08-30T13:30:00Z,Gold Bar,Washington,United States,N379ME,NA,0,0,0,0,0,CESSNA,T206H,NA
ERA24FA362,ACC,2024-08-30T13:21:00Z,Waynesville,Ohio,United States,N264JM,Fatal,1,0,0,39.476727,-84.093823,SCHLEICHER ALEXANDER GMBH & CO,ASH 26 E,NA
CEN24LA349,ACC,2024-08-30T12:00:00Z,Freemont,Nebraska,United States,N988CP,NA,0,0,0,0,0,CESSNA,172R,CIVIL AIR PATROL INC
WPR24LA299,ACC,2024-08-30T07:00:00Z,Colusa,California,United States,N710WD,Serious,0,1,0,0,0,WILLIAMS HELICOPTER CORP,UH-1H,A&P HELICOPTERS INC
ANC24LA083,ACC,2024-08-29T19:00:00Z,Aleknagik,Alaska,United States,N4NW,None,0,0,0,59.583333,-159.16666,PIPER,PA22,NA
WPR24FA288,ACC,2024-08-29T15:40:00Z,Yellow Pine,Idaho,United States,N712AM,Fatal,2,0,0,44.902319,-115.48692,TEXTRON AVIATION INC,T206H,NA
WPR24LA292,ACC,2024-08-28T15:15:00Z,Shearer,Idaho,United States,N924LB,None,0,0,0,45.9895,-114.84127,RONALD J MCLAUGHLIN,BEARHAWK PATROL,NA
ANC24LA084,ACC,2024-08-28T11:00:00Z,Hawi,Hawaii,United States,N2728B,None,0,0,0,20.264898,-155.85176,CESSNA,182B,Caleb Sheehan
ERA24LA359,ACC,2024-08-27T19:07:00Z,Sussex,New Jersey,United States,N9580S,Minor,0,0,1,0,0,CHAMPION,7ECA,NA
CEN24LA330,ACC,2024-08-27T17:45:00Z,Oshkosh,Wisconsin,United States,N151GH,None,0,0,0,43.984371,-88.557042,HOBBS GREG H,ESQUAL VM-1,NA
ERA24LA360,ACC,2024-08-26T13:01:00Z,Jesup,Georgia,United States,N686AC,None,0,0,0,31.555519,-81.887623,BEECH,B100,STM AIR LLC
CEN24FA327,ACC,2024-08-26T09:44:00Z,Wayne,Nebraska,United States,N9626K,Fatal,1,0,0,42.334419,-97.067471,PIPER,PA-28-140,NA
CEN24FA326,ACC,2024-08-26T08:41:00Z,Crofton,Nebraska,United States,N519JR,Fatal,1,0,0,42.696098,-97.550794,RANS,S19,NA
ERA24LA363,ACC,2024-08-26T08:15:00Z,Clearwater,Florida,United States,N39565,Minor,0,0,1,27.977214,-82.759057,AERONCA,65-TAC,NA
ERA24LA358,ACC,2024-08-25T14:20:00Z,Sterling,Massachusetts,United States,N5673B,None,0,0,0,42.426347,-71.79401,CESSNA,305,GREATER BOSTON SOARING CLUB INC
WPR24FA287,ACC,2024-08-25T12:24:00Z,Santa Paula,California,United States,N42JF,Serious,0,1,0,34.350587,-119.05226,PITTS,S1,Graham D Pollock
WPR24FA285,ACC,2024-08-24T10:15:00Z,Kent,Washington,United States,N61323,Serious,0,1,0,0,0,CESSNA,A185F,NA
CEN24FA325,ACC,2024-08-23T13:30:00Z,Newton,Texas,United States,N199BD,Fatal,1,0,1,30.881341,-93.706493,ARROW FALCON EXPORTERS INC,OH-58A+,Callaway land Management LLC
WPR24LA286,ACC,2024-08-23T11:00:00Z,Stanley,Idaho,United States,N9989E,None,0,0,0,44.208109,-114.93473,CESSNA,182P,T CRAFT AERO CLUB INC
ERA24LA368,ACC,2024-08-22T12:10:00Z,Shelter Island,New York,United States,N7529N,None,0,0,0,0,0,CESSNA,182,NA
CEN24LA323,ACC,2024-08-21T16:30:00Z,Cut and Shoot,Texas,United States,N3591R,Minor,0,0,1,30.314357,-95.327123,PIPER,PA-28-180,Chennault Aviation Academy
ERA24LA356,ACC,2024-08-20T18:00:00Z,Charleston,West Virginia,United States,N335BE,None,0,0,0,38.376013,-81.592894,CANADIAN LIGHT ACFT SALES &SVC,BUSHCADDY EXPLORER R80,NA
ERA24LA353,ACC,2024-08-20T14:42:00Z,Mohawk,New York,United States,N4533F,None,0,0,0,42.987571,-74.966544,GULFSTREAM AMERICAN CORP,AA-5B,NA
CEN24LA347,ACC,2024-08-20T14:15:00Z,Weslaco,Texas,United States,N2037Y,Minor,0,0,1,26.177488,-97.972758,CESSNA,172C,ARGOS RETAIL LLC
WPR24FA284,ACC,2024-08-20T08:23:00Z,Johnson Lane,Nevada,United States,N2412Y,Fatal,1,1,0,0,0,FALES BRUCE F,AIR CAM,ABRAHAM RANDAL G
CEN24FA320,ACC,2024-08-20T07:00:00Z,Odessa,Texas,United States,N689VP,Fatal,2,1,0,31.910877,-102.3861,CESSNA,550,NA
CEN24LA321,ACC,2024-08-19T19:45:00Z,Loveland,Colorado,United States,N4490R,None,0,0,0,40.452955,-105.01106,CESSNA,A185,NA
WPR24LA280,ACC,2024-08-19T09:45:00Z,Island Park,Idaho,United States,N9166T,Serious,0,1,0,0,0,PIPER,PA-18-150,NA
ERA24LA354,ACC,2024-08-19T08:58:00Z,Asheboro,North Carolina,United States,N600KA,None,0,0,0,35.655069,-79.896499,BEECH,300,Richard Trammell
ERA24LA351,ACC,2024-08-18T21:39:00Z,Washington,North Carolina,United States,N680SA,Minor,0,0,1,0,0,CESSNA,680,NA
ANC24LA077,ACC,2024-08-18T16:00:00Z,Honolulu,Hawaii,United States,N740RH,None,0,0,0,21.315266,-157.9219,ROBINSON,R44,Novictor Aviation LLC
ANC24LA079,ACC,2024-08-18T12:46:00Z,Palmer,Alaska,United States,N783AK,Minor,0,0,2,61.355,-148.21666,ROBINSON HELICOPTER COMPANY,R44 II,Alpha Aviation
WPR24LA279,ACC,2024-08-17T16:00:00Z,Boise,Idaho,United States,N5216D,NA,0,0,0,43.564361,-116.22286,CESSNA,180A,SIXTY NORTH LLC
ERA24LA348,ACC,2024-08-16T19:17:00Z,Orlando,Florida,United States,N61859,None,0,0,0,28.544201,-81.335335,CESSNA,172,JPRG AVIATION INC
ERA24LA349,ACC,2024-08-16T13:14:00Z,Mobile,Alabama,United States,N2342D,None,0,0,0,30.535448,-88.023288,SMITH T GUNTER,QUICK SILVER SP II,NA
ERA24LA347,ACC,2024-08-16T11:44:00Z,Gainesville,Florida,United States,N6495G,None,0,0,0,29.689047,-82.272581,CESSNA,150,NA
ERA24LA346,ACC,2024-08-16T07:15:00Z,Mooresburg,Tennessee,United States,N21811,Fatal,1,0,0,0,0,PIPER,J3,NA
ERA24LA357,ACC,2024-08-15T19:15:00Z,Elkwood,Virginia,United States,N8400X,None,0,0,0,38.530225,-77.856007,CESSNA,172,NA
ANC24LA080,ACC,2024-08-15T18:20:00Z,Arctic Village,Alaska,United States,N82065,None,0,0,0,68.83,-143.55,PIPER,PA-18-150,NA
ANC24LA078,ACC,2024-08-15T14:30:00Z,Healy,Alaska,United States,N2524D,None,0,0,0,0,0,CESSNA,170B,NA
WPR24LA281,ACC,2024-08-15T13:35:00Z,Grants,New Mexico,United States,N272JT,None,0,0,0,35,-107,EVEKTOR-AEROTECHNIK A S,HARMONY LSA,NA
CEN24LA317,ACC,2024-08-14T20:00:00Z,Guthrie,Oklahoma,United States,N184DC,None,0,0,0,35.879462,-97.42425,VANS,RV8,NA
CEN24LA316,ACC,2024-08-14T15:00:00Z,Eveleth,Minnesota,United States,N2248T,None,0,0,0,47.443473,-92.47649,CESSNA,A185E,NA
CEN24LA322,ACC,2024-08-14T13:00:00Z,Chetek,Wisconsin,United States,N3613W,NA,0,0,0,45.306488,-91.636823,PIPER,PA-32-260,NA
ERA24LA355,ACC,2024-08-14T11:30:00Z,Roxbury,Maine,United States,N652BH,None,0,0,0,44.664117,-70.587883,YATES ELDEN H,AVIPRO BEARHAWK,NA
WPR24LA282,ACC,2024-08-13T11:20:00Z,Durham,California,United States,N6633K,Minor,0,0,1,39.543815,-121.65765,GRUMMAN ACFT ENG COR-SCHWEIZER,G-164B,NA
CEN24LA314,ACC,2024-08-11T18:25:00Z,Whitewright,Texas,United States,N420DZ,None,0,0,0,33.455833,-96.377096,CESSNA,208B,DESERT SAND AIRCRAFT LEASING CO INC
WPR24LA271,ACC,2024-08-11T10:34:00Z,Manhattan,Montana,United States,N8576Y,None,0,0,0,45.823782,-111.34711,PIPER,PA-18-150,NA
WPR24LA277,ACC,2024-08-10T18:00:00Z,Sequim,Washington,United States,N354AL,None,0,0,0,48.092593,-122.9285,BEECH,N35,NA
ERA24LA343,ACC,2024-08-10T16:30:00Z,North Kingstown,Rhode Island,United States,N55YA,Minor,0,0,1,41.597139,-71.412139,YAKOVLEV,YAK-55M,John Pace
CEN24LA324,ACC,2024-08-10T01:00:00Z,Morris,Illinois,United States,N348CW,None,0,0,0,41.42475,-88.418667,WILSON CHARLIE H,RV8 C WILSON,NA
WPR24LA278,ACC,2024-08-09T17:45:00Z,Watsonville,California,United States,N727VB,None,0,0,0,36.934802,-121.79107,CIRRUS DESIGN CORP,SF50,FAFO AVIATION LLC
CEN24LA313,ACC,2024-08-09T16:00:00Z,Dyess,Arkansas,United States,N6569,None,0,0,0,35.590623,-90.183227,GRUMMAN,G164,Bennett Farms & Flying Service
WPR24LA283,ACC,2024-08-09T12:30:00Z,Fallbrook,California,United States,N56631,NA,0,0,0,0,0,PIPER,PA-32-300,NA
WPR24LA275,ACC,2024-08-08T19:59:00Z,Concord,California,United States,N8458Y,None,0,0,0,37.989657,-122.0569,PIPER,PA-30,NA
DCA24LA255,ACC,2024-08-08T17:00:00Z,Charlotte,North Carolina,United States,N542UW,Serious,0,1,3,0,0,AIRBUS,A321-231,AMERICAN AIRLINES INC
WPR24FA270,ACC,2024-08-08T12:55:00Z,Augusta,Montana,United States,N2764Q,Fatal,3,0,0,47.369681,-112.76608,CESSNA,182K,NA
ANC24LA075,ACC,2024-08-08T10:00:00Z,fairbanks,Alaska,United States,N94260,None,0,0,0,65.733333,-148.28333,CESSNA,A185F,NA
WPR24LA272,ACC,2024-08-07T19:15:00Z,Inglewood,California,United States,N552GC,None,0,0,0,33.922816,-118.33531,RENQUIST GEORGE,GS-2 SPORTSMAN,NA
ERA24LA341,ACC,2024-08-07T15:44:00Z,Jacksonville,Florida,United States,N2376L,None,0,0,0,30.275723,-81.800089,BEECH,23,NA
DCA24LA256,ACC,2024-08-07T14:00:00Z,Baltimore,Maryland,United States,N226WN,Serious,0,1,0,0,0,BOEING,737-7H4,SOUTHWEST AIRLINES CO
CEN24FA312,ACC,2024-08-07T08:00:00Z,Elkhart,Illinois,United States,N3093H,Fatal,1,0,0,39.98587,-89.47137,ENGINEERING & RESEARCH,ERCOUPE 415-C,NA
CEN24FA305,ACC,2024-08-06T18:20:00Z,Brazoria,Texas,United States,N7905U,Fatal,1,0,0,28.983336,-95.579193,CESSNA,172F,NA
CEN24LA310,ACC,2024-08-06T17:15:00Z,Crystal,Minnesota,United States,N744T,None,0,0,0,45.06233,-93.354866,BEECH,E-55,NA
ANC24LA076,ACC,2024-08-06T17:00:00Z,Skwenta,Alaska,United States,N9303Z,None,0,0,0,61.934958,-150.98895,DEHAVILLAND,BEAVER DHC-2,Bush Air Alaska LLC
CEN24LA307,ACC,2024-08-06T16:40:00Z,Kalamazoo,Michigan,United States,N484WW,NA,0,0,0,42.233962,-85.550144,BEECH,58,Midwest Air Link
CEN24FA304,ACC,2024-08-06T13:26:00Z,Oklahoma City,Oklahoma,United States,N8095U,Fatal,4,0,0,35.603623,-97.703528,BEECH,F33,NA
WPR24LA276,ACC,2024-08-06T12:20:00Z,Scappoose,Oregon,United States,N9849M,None,0,0,0,45.771028,-122.86183,MAULE,M4,NA
CEN24LA309,ACC,2024-08-06T08:40:00Z,Salem,Indiana,United States,N236CB,None,0,0,0,38.605114,-86.146442,CIRRUS,SR22,CARLSON AVIATION LLC
ANC24LA074,ACC,2024-08-05T11:53:00Z,Fairbanks,Alaska,United States,N9FW,None,0,0,0,64.817333,-147.85,PIPER,PA31,Warbelows Air Ventures
ERA24FA338,ACC,2024-08-05T10:11:00Z,Jamestown,New York,United States,N750GB,Serious,0,1,1,42.153394,-79.258022,CESSNA,750,NA
WPR24LA268,ACC,2024-08-05T09:00:00Z,Minden,Nevada,United States,N4145B,None,0,0,0,39.0005,-119.7511,PIPER,PA-34-220T,NA
WPR24LA267,ACC,2024-08-04T13:15:00Z,Sacramento,California,United States,N135DG,Minor,0,0,1,38.633463,-121.40314,PIPER,PA-28R-201T,NA
CEN24FA298,ACC,2024-08-03T20:58:00Z,Napoleon,Michigan,United States,N140DG,Fatal,1,0,0,42.182944,-84.277778,DeGraw,DeBird,NA
CEN24LA300,ACC,2024-08-03T17:20:00Z,South Park,Indiana,United States,N177DB,NA,0,0,0,41.3985,-85.6974,AVIAT AIRCRAFT INC,A-1C-180,NA
CEN24LA303,ACC,2024-08-03T13:37:00Z,Bryant,Iowa,United States,N225ML,None,0,0,0,41.930429,-90.357088,ROBINSON HELICOPTER,R44,SEATON FLYING SERVICES
CEN24LA308,INC,2024-08-03T13:00:00Z,Tulsa,Oklahoma,United States,N825JC,None,0,0,0,36.198393,-95.888105,CIRRUS DESIGN CORP,SR22T,NA
WPR24LA269,ACC,2024-08-03T12:45:00Z,Lodi,California,United States,N657MJ,None,0,0,0,38.20011,-121.20955,PROTECH,PT2,NA
ANC24LA072,ACC,2024-08-03T12:37:00Z,Wasilla,Alaska,United States,N9697P,NA,0,0,0,0,0,PIPER,PA18,NA
ERA24LA335,ACC,2024-08-03T11:25:00Z,Oxford,Maine,United States,N121CH,Serious,0,1,0,44.1575,-70.48133,Hendrickson,Glasair 3,NA
CEN24LA301,ACC,2024-08-03T09:45:00Z,West Livingston,Texas,United States,N129WT,Minor,0,0,1,30.686166,-95.018,TAILWIND,W10,NA
DCA24LA254,ACC,2024-08-03T04:00:00Z,Dallas,Texas,United States,N793AN,Serious,0,1,1,0,0,BOEING,777-223,AMERICAN AIRLINES INC
WPR24LA265,ACC,2024-08-02T21:07:00Z,Raft River,Idaho,United States,N20BH,Minor,0,0,4,42.5314,-113.2296,BELL,407,US Forest Service
CEN24LA299,ACC,2024-08-02T14:20:00Z,Palmyra,Wisconsin,United States,N30433,None,0,0,0,42.883394,-88.598892,CESSNA,177A,NA
WPR24LA264,ACC,2024-08-02T13:11:00Z,Carrizozo,New Mexico,United States,N9954L,None,0,0,0,33.6489,-105.8962,MOONEY,M20F,NA
ERA24LA344,ACC,2024-08-02T12:50:00Z,Cullman,Alabama,United States,N718FG,None,0,0,0,0,0,BEECH,A36,Northwest Iowa Aviators LLC
ANC24LA073,ACC,2024-08-02T08:24:00Z,Anchorage,Alaska,United States,N4444Z,None,0,0,0,61.179038,-149.95929,DE HAVILLAND,DHC2,Rust's Flying Service
CEN24LA302,ACC,2024-08-02T07:00:00Z,Colorado Springs,Colorado,United States,N26464,Serious,0,1,0,38,-104,ARBC INC DBA LINDSTRAND,260A,MARKETING SERVICES INC OF PUEBLO
ERA24LA333,ACC,2024-07-31T15:40:00Z,Egg Harbor City,New Jersey,United States,N124RR,None,0,0,0,0,0,CIRRUS DESIGN CORP,SR20,NA
CEN24LA306,ACC,2024-07-31T10:00:00Z,Cleveland,Mississippi,United States,N188RS,None,0,0,0,33.744,-90.725,BELLANCA,8GCBC,Pilot
CEN24LA311,ACC,2024-07-31T08:36:00Z,Wills Point,Texas,United States,N2106E,None,0,0,0,32.788504,-96.026226,PIPER,PA-34-200T,NA
CEN24FA295,ACC,2024-07-31T07:20:00Z,Irene,South Dakota,United States,N903US,Fatal,1,0,0,43.072519,-97.215119,PIPER,PA-28-180,NA
CEN24LA297,ACC,2024-07-30T19:04:00Z,Castroville,Texas,United States,N8840S,None,0,0,0,29.3419,-98.850899,CESSNA,150F,Blue Thunder Aviation LLC
CEN24LA293,ACC,2024-07-30T11:15:00Z,Lincoln,Nebraska,United States,N8121N,NA,0,0,0,40.850891,-96.759121,BEECH,F33A,SNELL SERVICES INC
ERA24LA337,ACC,2024-07-29T21:30:00Z,North Myrtle Beach,South Carolina,United States,N5343C,None,0,0,0,33.81175,-78.723944,PIPER,PA-32R-301T,NA
ANC24LA071,ACC,2024-07-29T15:55:00Z,Huntsville,Utah,United States,N8485W,None,0,0,0,41.17689,-111.56931,BURKHART GROB FLUGZEUGBAU,G103 TWIN ASTIR,NA
CEN24LA289,ACC,2024-07-29T14:15:00Z,Midland,Texas,United States,N916SR,None,0,0,0,31.942528,-102.20191,EVEKTOR AEROTECHNIK,EV97,Erdman Aviation LLC
CEN24FA287,ACC,2024-07-29T13:30:00Z,Nashua,Iowa,United States,N94XA,Fatal,1,0,0,42.961671,-92.49061,BELL,206,Xtreme Aviation LLC
ERA24LA330,ACC,2024-07-29T12:10:00Z,Naples,Florida,United States,N934PC,None,0,0,0,26.156918,-81.77092,RAYTHEON AIRCRAFT COMPANY,A36,NA
ERA24LA332,ACC,2024-07-28T16:08:00Z,Red Hook,New York,United States,"N1041U, N108CH",None,0,0,0,41.970403,-73.862086,"BUCKER JUNGMANN, GREAT LAKES","C.A.S.A. 1.131, 2T-1E",","
CEN24LA292,ACC,2024-07-28T13:00:00Z,Lewisville,Texas,United States,N414FS,Minor,0,0,1,33.13139,-97.01419,FLIGHT DESIGN GMBH,CTSW,NA
CEN24LA286,ACC,2024-07-28T11:40:00Z,Exeland,Wisconsin,United States,N4646G,None,0,0,0,45.734449,-91.263693,PIPER,PA46,NA
ERA24LA336,ACC,2024-07-28T09:50:00Z,Immokalee,Florida,United States,"N734BH, N8580E",None,0,0,0,26.421915,-81.403334,"CESSNA, PIPER","172N, PA-28-161","Wayman Aviation Flight School,SKYBORNE AIRLINE ACADEMY INC"
WPR24LA259,ACC,2024-07-28T08:15:00Z,Elko,Nevada,United States,N2248L,Minor,0,0,1,40.812583,-115.81003,BEECH,C23,NA
DCA24WA250,INC,2024-07-28T04:00:00Z,Chicago,Illinois,United States,EI-GZC,NA,0,0,0,0,0,BOEING,737,AEROMEXICO
ANC24LA070,ACC,2024-07-27T17:00:00Z,Fort Bridger,Wyoming,United States,N854,NA,0,0,0,0,0,ROBERTS JEFF,SUPER RV8,NA
ERA24LA327,ACC,2024-07-27T14:50:00Z,Russellville,Kentucky,United States,N280D,None,0,0,0,36.799611,-86.810917,ENSTROM,280FX,NA
ERA24LA328,ACC,2024-07-27T13:58:00Z,Groveland,Florida,United States,N77522,Minor,0,0,2,28.549199,-81.900403,PIPER,J3C-65,NA
ERA24LA329,ACC,2024-07-27T13:18:00Z,Moultonborough,New Hampshire,United States,N291RP,None,0,0,0,43.767457,-71.387626,CESSNA,172P,NA
ERA24FA326,ACC,2024-07-27T12:42:00Z,West Carthage,New York,United States,N61486,Fatal,1,0,0,43.967133,-75.62105,SCHWEIZER,269C,NA
WPR24LA261,ACC,2024-07-27T11:57:00Z,Winchester,California,United States,N86270,None,0,0,0,33.705446,-117.09146,AERONCA,11AC,NA
CEN24LA288,ACC,2024-07-27T11:15:00Z,Ft. Atkinson,Wisconsin,United States,N980BL,None,0,0,0,42.963203,-88.817628,PIPER,PA-28R-180,NA
CEN24LA290,ACC,2024-07-27T11:09:00Z,Fort Worth,Texas,United States,N98813,None,0,0,0,32.93067,-97.41225,PIPER,J3C-65,NA
DCA24LA245,INC,2024-07-27T04:25:00Z,Salt Lake City,Utah,United States,"N853DN, N361NW",None,0,0,0,0,0,"BOEING, AIRBUS INDUSTRIE","737-932ER, A320-212","DELTA AIR LINES INC,DELTA AIR LINES INC"
ERA24LA331,ACC,2024-07-26T13:22:00Z,Valdosta,Georgia,United States,N326WR,Minor,0,0,2,0,0,AERO COMMANDER,200,NA
CEN24LA291,ACC,2024-07-26T13:13:00Z,Antioch,Nebraska,United States,N6136Z,None,0,0,0,42.04655,-102.64338,AYRES CORPORATION,S2R-G6,AG SOLUTIONS LLC
WPR24FA257,ACC,2024-07-26T13:04:00Z,Recluse,Wyoming,United States,N357HE,Fatal,7,0,0,44.877289,-105.58919,PILATUS AIRCRAFT LTD,PC-12/47E,NA
WPR24LA256,ACC,2024-07-26T07:19:00Z,Oshkosh,Wisconsin,United States,N94NG,None,0,0,0,43.984371,-88.557042,DIAMOND AIRCRAFT IND GMBH,DA 42 NG,NA
DCA24WA253,INC,2024-07-25T18:15:00Z,Ruston,Louisiana,United States,XA-AEP,NA,0,0,0,0,0,EMBRAER,ERJ190,AEROMEXICO
WPR24FA255,ACC,2024-07-25T18:00:00Z,Izee,Oregon,United States,N805DG,Fatal,1,0,0,44.033333,-119.24583,AIR TRACTOR INC,AT-802A,WAKEFIELD AIRCRAFT LLC
ERA24LA324,ACC,2024-07-25T16:30:00Z,Catskill,New York,United States,N1166L,None,0,0,0,42.20835,-73.850346,LAKE,LA4,NA
WPR24LA273,ACC,2024-07-25T13:30:00Z,Rome,Oregon,United States,N1599,None,0,0,0,42.6,-118.41,GLASFLUGEL,STANDARD LIBELLE,NA
ERA24FA323,ACC,2024-07-25T12:25:00Z,Trenton,Maine,United States,N990PT,Fatal,2,0,0,44.457438,-68.357921,CIRRUS DESIGN CORP,SR22,MILLER HIGH LIFE AVIATION LLC
WPR24LA258,ACC,2024-07-25T10:25:00Z,Camarillo,California,United States,N5708N,NA,0,0,0,34.213914,-119.08787,BOEING,A75N1(PT17),NA
