nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
1214,253,2022,13,239,Georgia,Quitman County,2259
9673,2372,2022,13,241,Georgia,Rabun County,17267
3525,662,2022,13,243,Georgia,Randolph County,6126
139311,19788,2022,13,245,Georgia,Richmond County,206344
65809,11516,2022,13,247,Georgia,Rockdale County,94945
3195,449,2022,13,249,Georgia,Schley County,4497
9032,1555,2022,13,251,Georgia,Screven County,13970
5631,1003,2022,13,253,Georgia,Seminole County,9144
45767,8214,2022,13,255,Georgia,Spalding County,69008
17732,2993,2022,13,257,Georgia,Stephens County,26746
2606,516,2022,13,259,Georgia,Stewart County,4604
18467,3075,2022,13,261,Georgia,Sumter County,28864
3487,575,2022,13,263,Georgia,Talbot County,5757
1004,121,2022,13,265,Georgia,Taliaferro County,1608
13732,2569,2022,13,267,Georgia,Tattnall County,23988
4888,958,2022,13,269,Georgia,Taylor County,7762
5753,1129,2022,13,271,Georgia,Telfair County,12378
5324,1036,2022,13,273,Georgia,Terrell County,8792
30951,4791,2022,13,275,Georgia,Thomas County,45551
27560,5472,2022,13,277,Georgia,Tift County,41335
18175,3483,2022,13,279,Georgia,Toombs County,26813
6626,1119,2022,13,281,Georgia,Towns County,12961
3822,925,2022,13,283,Georgia,Treutlen County,6359
49022,7882,2022,13,285,Georgia,Troup County,70247
5706,1044,2022,13,287,Georgia,Turner County,8836
4816,819,2022,13,289,Georgia,Twiggs County,7676
14028,2972,2022,13,291,Georgia,Union County,26390
19098,3126,2022,13,293,Georgia,Upson County,28093
46985,7352,2022,13,295,Georgia,Walker County,68965
74669,10836,2022,13,297,Georgia,Walton County,103064
22997,4205,2022,13,299,Georgia,Ware County,35597
3230,548,2022,13,301,Georgia,Warren County,5157
12083,1992,2022,13,303,Georgia,Washington County,19765
19518,4311,2022,13,305,Georgia,Wayne County,30737
1339,343,2022,13,307,Georgia,Webster County,2337
3112,684,2022,13,309,Georgia,Wheeler County,7310
17964,3598,2022,13,311,Georgia,White County,28804
68246,18536,2022,13,313,Georgia,Whitfield County,103095
4394,702,2022,13,315,Georgia,Wilcox County,8751
5842,1259,2022,13,317,Georgia,Wilkes County,9565
5607,983,2022,13,319,Georgia,Wilkinson County,8677
13650,2187,2022,13,321,Georgia,Worth County,20431
