nic_pt,nui_pt,year,state,county,stname,ctyname,popestimate2022
162955,9453,2022,15,001,Hawaii,Hawaii County,206348
792652,32610,2022,15,003,Hawaii,Honolulu County,994828
NA,NA,2022,15,005,Hawaii,Kalawao County,81
58686,3147,2022,15,007,Hawaii,Kauai County,73783
133228,6533,2022,15,009,Hawaii,Maui County,164359
